barbarian_0_x,barbarian_0_y,barbarian_1_x,barbarian_1_y,barbarian_2_x,barbarian_2_y,barbarian_3_x,barbarian_3_y,barbarian_4_x,barbarian_4_y,barbarian_5_x,barbarian_5_y,barbarian_6_x,barbarian_6_y,barbarian_7_x,barbarian_7_y,barbarian_8_x,barbarian_8_y,barbarian_9_x,barbarian_9_y,barbarian_10_x,barbarian_10_y,barbarian_11_x,barbarian_11_y,barbarian_12_x,barbarian_12_y,archer_0_x,archer_0_y,archer_1_x,archer_1_y,archer_2_x,archer_2_y,archer_3_x,archer_3_y,archer_4_x,archer_4_y,archer_5_x,archer_5_y,archer_6_x,archer_6_y,archer_7_x,archer_7_y,archer_8_x,archer_8_y,archer_9_x,archer_9_y,archer_10_x,archer_10_y,archer_11_x,archer_11_y,archer_12_x,archer_12_y,giant_0_x,giant_0_y,giant_1_x,giant_1_y,giant_2_x,giant_2_y,giant_3_x,giant_3_y,giant_4_x,giant_4_y,giant_5_x,giant_5_y,giant_6_x,giant_6_y,giant_7_x,giant_7_y,giant_8_x,giant_8_y,giant_9_x,giant_9_y
0,46,-5,41,-4,30,4,-6,-13,23,-1,-20,10,-19,-16,-3,-12,1,41,-20,-2,39,-13,47,28,42,29,6,-16,46,-16,12,-9,-15,-14,36,32,47,36,43,34,-17,8,-12,36,5,34,30,-13,12,41,4,-11,-16,38,45,45,-2,46,29,35,-2,-3,45,-20,46,37,-12,-18,-3,34,-20
-16,8,34,43,35,18,11,32,45,-8,3,44,41,-14,39,46,46,-8,43,0,15,-4,40,29,13,-15,-9,29,-4,-6,28,-7,-14,15,37,-10,-15,44,-12,-6,-7,22,7,-10,-5,43,-19,32,-16,-16,-8,13,-6,-2,-6,32,-6,35,11,39,40,43,-4,-4,41,41,31,32,31,-10,44,-15
33,36,41,-13,-9,-4,47,42,34,-8,-3,39,33,-10,31,-6,21,32,36,-9,34,46,-12,20,-12,-6,46,40,33,-1,-5,14,44,36,44,-2,31,-19,40,26,-12,23,-14,-10,11,-15,-16,10,-20,-4,30,9,41,38,38,39,-15,0,-5,-14,-4,-13,31,3,-18,-9,-4,1,5,-11,-9,47
7,-5,-3,24,46,37,32,-9,5,-19,-3,-3,35,30,2,37,-19,19,22,-5,29,-7,45,6,35,-10,41,0,42,4,20,45,42,10,-14,47,-13,-18,-7,38,-15,-7,-7,33,-18,7,24,-4,35,-19,-15,7,8,32,-16,38,22,-5,38,-6,-13,9,13,35,-18,21,0,29,-7,28,30,-3
47,-11,39,30,-5,-16,-15,44,-11,4,-6,-16,36,39,45,32,38,9,46,-19,-8,47,-11,-2,-9,-5,10,-14,35,39,-20,21,17,-17,-17,-14,-2,9,40,31,-20,-10,-18,12,25,-5,-7,-8,-5,-2,45,40,-11,-13,46,-18,-13,20,-8,38,47,29,-18,44,-17,18,24,-20,-17,-15,-18,39
-18,24,-10,36,40,-18,34,-7,36,-10,37,20,-9,44,-10,-3,-12,25,4,-8,6,-3,39,12,13,-3,-7,20,28,44,-18,43,40,37,35,-20,-4,-10,34,1,-19,12,-3,13,22,-12,17,-10,30,-5,33,25,42,29,-6,43,43,4,-13,32,-5,7,23,44,18,34,-15,10,34,20,-4,-2
40,39,39,45,41,20,17,34,37,14,26,35,-20,-4,40,4,44,-10,44,8,-14,-8,39,-7,46,-2,-4,30,-5,26,-7,30,22,29,-5,36,7,36,-12,-4,-6,45,-2,47,33,24,14,41,-20,-8,-7,6,34,-14,25,45,38,-20,36,46,-6,-3,4,-2,-12,-5,-15,-14,-7,39,43,10
-7,22,28,45,-7,27,31,-20,35,39,-1,-9,27,40,42,40,-7,35,-4,-9,37,29,-8,-10,36,-11,-13,20,-16,-11,34,-9,-18,44,20,-4,28,-8,27,-8,31,-6,-16,-19,-6,9,-8,12,-1,32,16,-18,45,38,32,-15,-16,31,-5,-13,39,-20,35,-7,35,31,18,43,-16,38,44,13
-7,-8,-8,27,9,43,-2,-10,-10,-12,30,14,-8,-7,-5,23,45,34,2,-6,-19,33,20,38,-6,37,6,38,-3,14,34,16,17,-2,-11,6,21,31,6,-11,9,40,-7,-12,35,-10,15,31,11,35,0,-14,31,40,29,-16,37,-15,29,36,-4,-20,33,35,-11,29,31,-12,-7,-8,39,-13
-17,23,14,37,-7,-3,47,13,41,24,18,37,29,35,40,-10,34,-8,-18,42,-17,-10,36,2,-19,-13,45,37,15,-10,-19,-19,-8,35,-6,47,8,-3,-15,30,40,-6,-5,45,-13,25,17,31,1,-18,14,31,22,-7,16,-15,25,46,12,46,29,25,12,-4,-2,-18,21,-16,-3,-20,40,-15
44,-10,41,-16,-9,36,41,-10,2,-5,38,6,-11,36,-2,-7,24,47,2,37,-16,21,-3,27,-4,7,31,36,47,8,-8,-13,0,-10,-16,-2,43,6,8,47,40,-17,-5,44,38,-9,35,-19,-12,-19,47,-20,1,-11,43,41,32,31,13,33,31,-12,47,15,36,26,20,30,37,45,-14,22
34,-17,-14,28,-19,24,-2,-16,21,40,33,-12,38,-11,-14,38,38,-15,-19,7,-12,-7,-6,42,-19,38,-8,44,11,-14,21,-9,0,-13,46,35,-3,25,0,45,39,1,-15,-19,-11,-8,32,-14,47,18,-11,-5,3,30,21,40,21,-8,34,35,22,35,-16,-17,-16,33,-6,46,6,-7,-3,32
38,30,45,-1,47,34,34,35,6,-20,-2,33,33,40,-2,30,34,30,47,-9,47,28,33,-20,4,31,-18,-2,-18,3,-9,-9,29,-17,44,-19,-19,22,-17,12,21,43,38,32,14,35,-12,38,38,-8,-4,6,40,30,47,10,13,29,-4,38,45,-2,45,-9,40,28,46,18,-11,-20,45,29
-19,-1,-4,-8,42,-18,-6,27,38,3,31,30,-14,-6,-14,-13,16,37,44,39,44,-6,-7,-11,-8,-18,-16,-17,-2,-2,36,31,46,-15,0,-8,34,34,-9,47,32,-4,-11,19,-8,43,31,4,-15,29,-14,11,38,33,22,-3,6,-2,39,2,-17,43,-4,-20,32,18,33,16,24,41,-6,40
-7,2,13,46,-8,32,11,34,44,-3,-19,-13,23,45,34,-2,36,46,47,-2,11,32,-13,41,-4,4,-1,-5,18,29,-4,-8,-17,31,38,-13,12,34,-1,45,-10,18,46,-12,43,18,42,8,16,39,-10,17,35,-5,-9,-7,6,32,-12,39,28,-6,13,-6,-6,41,-3,37,-13,41,25,-11
41,30,9,41,-4,12,14,36,38,39,-9,0,42,45,2,33,-12,28,23,-11,35,-15,44,-20,-20,47,30,34,-6,-4,14,-6,31,44,-13,22,43,10,32,28,27,-5,-5,32,22,-14,36,45,45,38,3,39,-13,-11,36,14,-2,39,42,31,-10,13,-2,3,-18,38,-2,-6,-6,14,-8,-14
-6,-2,34,36,-20,-14,-11,-20,-6,-11,34,-8,11,-13,40,14,31,5,47,10,32,28,44,-19,-6,-9,15,-13,9,47,1,-11,34,-14,32,38,-11,10,41,21,3,31,-10,43,30,-17,-11,-1,30,-5,-20,-19,34,43,-8,-4,-2,35,21,31,-5,28,-11,14,-3,36,-3,-3,-12,-5,-6,10
5,-7,42,-9,-14,47,44,45,44,-19,-17,-11,-12,-11,-12,-5,41,-12,39,31,-13,7,44,42,-14,12,-12,-13,41,37,-1,-17,36,20,30,-14,-12,5,9,32,-12,-16,34,19,39,-17,-16,37,32,8,44,18,26,37,13,-3,42,33,-12,31,-10,14,-19,45,-14,-18,-20,38,-2,40,40,24
-10,39,-3,21,44,28,31,37,-1,-20,29,9,13,33,-4,-11,44,42,12,-14,2,33,46,34,-6,22,46,5,-13,-4,-5,-15,9,47,-11,-20,-19,37,31,-16,-12,43,-15,37,-1,46,-2,-16,43,-18,-5,29,-12,8,39,44,30,35,-18,-16,42,-4,-2,27,31,20,18,-19,30,-14,11,30
-11,9,40,-16,16,-19,-9,44,-7,8,36,34,10,38,7,30,-13,-16,-18,-18,11,43,-12,45,-8,-10,-16,42,-15,-9,30,37,4,36,36,21,46,-6,-3,-13,29,12,-14,30,-20,38,45,34,43,28,-2,43,41,31,31,9,-6,-2,14,31,-17,22,43,43,-11,-1,-10,43,35,-14,33,37
-14,10,37,15,44,23,-4,18,35,25,9,-19,41,35,-19,-18,39,-6,23,32,35,47,-14,45,36,-19,-1,34,-15,29,6,41,-12,42,9,30,-2,-6,32,34,-4,38,36,-17,41,2,36,31,21,36,-20,-7,44,28,40,44,-9,-9,44,-10,-16,-12,19,31,-8,-9,23,39,6,41,-16,44
-13,-20,0,-20,20,-4,-11,46,-2,-15,8,-5,-20,2,-12,44,38,46,-16,35,-15,27,-18,-4,38,-4,15,-11,38,-18,34,2,45,10,39,40,-18,41,43,-15,-6,29,42,9,21,-18,13,-13,37,45,-6,-7,-15,43,2,-7,42,24,-2,-10,-15,-5,38,-3,-16,4,-1,35,-20,14,-11,46
44,45,-8,-8,-2,41,30,-15,26,-8,-10,-15,47,40,24,-15,31,-20,20,-18,21,-14,-7,42,2,-8,24,-20,-18,32,-13,-8,-6,-17,32,-18,-5,6,-6,-18,24,45,38,-20,28,38,-11,0,34,-20,15,-17,-17,27,38,41,42,45,47,39,35,30,31,29,37,24,12,37,25,36,1,46
-8,7,-17,-12,-19,-6,26,44,-9,47,41,13,35,-15,-2,21,42,47,-20,-3,45,44,16,40,-10,44,-17,-5,16,41,-15,37,-2,29,-5,4,36,-7,36,36,43,24,-5,24,-8,10,32,31,-11,6,-20,32,-11,-10,29,-1,-8,6,-17,46,-4,42,-4,5,-19,4,30,28,-11,7,-17,43
3,-11,-5,30,5,-13,9,-2,44,21,34,-7,8,-16,6,47,-10,-15,41,-19,41,-2,-15,-19,21,-3,35,-3,-13,16,38,5,36,9,-5,26,-7,30,28,37,8,36,40,-11,-6,-12,13,-20,45,45,18,31,47,44,-15,40,15,-12,-17,31,-20,34,41,-8,44,28,28,43,34,45,39,7
-13,38,34,-18,46,22,34,31,35,31,-4,-12,-17,-8,37,24,9,-5,31,37,16,35,35,42,-8,-19,37,28,-4,-9,-14,-2,-19,-17,19,-6,31,47,-12,2,45,40,43,34,-12,-3,47,34,-18,-5,21,43,-8,33,34,47,11,-18,30,-19,-14,41,20,29,29,8,10,29,41,-19,9,35
9,-9,-2,45,-19,-14,14,37,3,-8,9,46,16,-6,-11,-12,-16,35,-8,-13,-6,31,-16,5,39,36,30,-16,35,17,42,19,5,41,-8,-4,17,-13,37,18,40,21,-7,-9,-8,-15,-14,-6,-13,4,38,47,47,-19,36,7,-13,38,35,38,-3,-10,28,-5,-4,-4,6,-15,-9,-8,18,-8
