cannon_1, cannon_2, archer_1, archer_2, army_1, army_2, goldstorage_1, goldstorage_2, elixerstorage_1, elixerstorage_2, barracks_1, barracks_2, barracks_3, mortar_1, builder_1, gold_1, gold_2, gold_3, gold_4, elixer_1, elixer_2, elixerstorage_3, elixer_3, townhall_1, research_1, castle_1
1.0, 0, 1.0, 0, 0, 0.9733333333333334, 1.0, 0, 1.0, 0, 1.0, 0.0967741935483871, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0
1.0, 0, 0.43, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0, 1.0, 0, 0, 0, 0.7639344262295082, 0, 0, 0, 0.25466666666666665, 0, 1.0, 0, 0
0, 0, 0, 1.0, 0, 0, 1.0, 1.0, 0.9253333333333333, 1.0, 1.0, 0, 1.0, 1.0, 0.72, 0.9704918032786886, 0, 0, 0, 0, 0, 1.0, 0, 1.0, 0, 0
1.0, 0, 1.0, 0, 0, 0.9466666666666667, 1.0, 0, 1.0, 0, 0.7935483870967742, 1.0, 0, 0, 0, 0, 0, 0, 0, 0.7081967213114754, 0, 0, 0, 0.8923809523809524, 0, 0
1.0, 0, 0.202, 1.0, 0, 0.9466666666666667, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 1.0, 1.0, 0.424, 1.0, 0, 0, 0, 0, 0, 0.2, 0, 1.0, 0, 0
1.0, 0, 1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0.6903225806451613, 0, 0, 0, 0, 0, 0.7639344262295082, 0, 0.6459016393442623, 0, 1.0, 0, 1.0, 0, 0
0, 0, 0, 1.0, 0, 0, 0.39066666666666666, 1.0, 0, 1.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0
0, 0, 0, 0.468, 0, 0, 1.0, 1.0, 0.808, 1.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0
1.0, 0, 1.0, 0, 0, 0, 1.0, 0, 1.0, 0, 0, 0.7935483870967742, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0
0, 0, 0, 1.0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0.928, 0.6459016393442623, 0, 0, 0, 0, 0, 0.8813333333333333, 0, 1.0, 0, 0.012
1.0, 0, 1.0, 0, 0, 0.6266666666666667, 1.0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0.8229508196721311, 0, 0, 0, 0.46885245901639344, 0, 0, 0, 0.719047619047619, 0, 0
0, 0, 0, 1.0, 0, 0, 1.0, 1.0, 0, 1.0, 0, 0, 0.24516129032258063, 1.0, 0, 0.15081967213114755, 0, 0.16065573770491803, 0, 0, 0, 0.976, 0, 1.0, 0, 0
0.3090909090909091, 0, 0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, 1.0, 1.0, 0.032, 0, 0, 0.8229508196721311, 0, 0, 0, 0.428, 0, 1.0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 1.0, 0.88, 0.2, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 1.0, 1.0, 0.648, 0.1737704918032787, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0
1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9483870967741935, 0, 0, 0, 0.3442622950819672, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0
1.0, 0, 1.0, 0.506, 0, 0.15666666666666668, 1.0, 1.0, 1.0, 1.0, 1.0, 0.1935483870967742, 1.0, 0, 1.0, 0.8688524590163934, 0, 0, 0, 0, 0, 0.808, 0, 1.0, 0, 0
0, 0, 0, 1.0, 0, 0, 1.0, 1.0, 0, 1.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0.098
0, 0, 0, 1.0, 0, 0, 1.0, 1.0, 0, 1.0, 0, 0, 0.7935483870967742, 0.2875, 0, 0, 0, 0, 0, 0, 0, 0.8293333333333334, 0, 1.0, 0, 0
0, 0, 0, 1.0, 0, 0, 1.0, 1.0, 0, 1.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0.04133333333333333, 0, 1.0, 0, 0
0, 0, 0.544, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0.9483870967741935, 0, 1.0, 1.0, 0, 0.2754098360655738, 0, 0, 0, 0, 0, 0.54, 0, 1.0, 0, 0
1.0, 0, 1.0, 0, 0, 0, 1.0, 0, 1.0, 0, 0.7419354838709677, 0, 0, 0, 0, 0.7639344262295082, 0, 0, 0, 0, 0, 0, 0, 0.94, 0, 0
0, 0, 0.658, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0.512, 0, 1.0, 0, 0
0, 0, 0, 1.0, 0, 0, 1.0, 1.0, 0, 1.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0.7986666666666666, 0, 1.0, 0, 0
1.0, 0, 1.0, 0, 1.0, 1.0, 0.552, 0, 1.0, 0, 0.9483870967741935, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 1.0, 0, 0, 1.0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0, 0, 1.0, 0, 0, 0, 0, 0, 0.9893333333333333, 0, 1.0, 0, 0
0, 0, 0, 1.0, 0, 0, 1.0, 1.0, 0.22266666666666668, 1.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0.548, 0, 1.0, 0, 0.626
1.0, 0, 1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0.6580645161290323, 0.07096774193548387, 0, 0.1925, 0, 0.8229508196721311, 0, 0, 0, 0, 0, 0.236, 0, 1.0, 0, 0.494
0, 0, 0, 1.0, 0, 0, 1.0, 1.0, 0.5906666666666667, 1.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0
0, 0, 0, 1.0, 0, 0, 1.0, 1.0, 0, 1.0, 0, 0, 1.0, 1.0, 1.0, 0.8229508196721311, 0, 0.9737704918032787, 0, 0, 0, 1.0, 0, 1.0, 0, 0.494
0, 0, 0, 1.0, 0, 0, 1.0, 1.0, 0.7546666666666667, 1.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0.94, 0, 1.0, 0, 0.968
0, 0, 0, 0.582, 0, 0, 0.988, 1.0, 1.0, 1.0, 0, 0, 1.0, 1.0, 0, 0, 0, 1.0, 0, 0, 0, 0.208, 0, 1.0, 0, 0
1.0, 0, 1.0, 0.202, 0, 0, 1.0, 0, 1.0, 0.7066666666666667, 0, 0, 0, 1.0, 0.552, 0.23934426229508196, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0
1.0, 0, 1.0, 0, 0, 0.36, 1.0, 1.0, 1.0, 1.0, 0.896774193548387, 0, 0.7677419354838709, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0
0, 0, 0, 1.0, 0, 0, 1.0, 1.0, 0, 1.0, 0, 0, 0, 0.0975, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0
1.0, 0, 1.0, 1.0, 0.94, 0, 1.0, 1.0, 1.0, 1.0, 0.9483870967741935, 0, 1.0, 0.0025, 0.712, 0, 0, 0, 0, 0, 0, 0.8933333333333333, 0, 1.0, 0, 0
1.0, 0, 1.0, 0.278, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0.9483870967741935, 0.5935483870967742, 0, 0, 0.29180327868852457, 0, 0, 0, 0.003278688524590164, 0, 0.528, 0, 1.0, 0, 0.804
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.0, 0, 1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0.6903225806451613, 1.0, 1.0, 0.715, 0.28, 0, 0, 0.43934426229508194, 0, 0.04590163934426229, 0.8098360655737705, 1.0, 0, 1.0, 0, 0
1.0, 0, 1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0.784, 0.9475409836065574, 0, 0, 0, 0, 0, 0.7546666666666667, 0, 1.0, 0, 0
0, 0, 0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 0.16065573770491803, 0, 0.9737704918032787, 0, 0, 0, 0.7893333333333333, 0, 1.0, 0, 0
0, 0, 0, 1.0, 0, 0, 1.0, 1.0, 0.9253333333333333, 1.0, 0, 0, 0.36129032258064514, 1.0, 0, 0, 0, 0.7901639344262295, 0, 0, 0, 0.47733333333333333, 0, 1.0, 0, 0
1.0, 0, 1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0.9483870967741935, 0.4129032258064516, 0, 0.2875, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0
0, 0, 0, 0.734, 0, 0, 1.0, 0.7546666666666667, 0.9786666666666667, 1.0, 1.0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0.324, 0, 1.0, 0, 0
1.0, 0, 0.81, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0.6903225806451613, 1.0, 0, 0, 0, 0.8819672131147541, 0, 0, 0, 0.16266666666666665, 0, 1.0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.31272727272727274, 0, 1.0, 0, 0, 0, 0.7866666666666666, 0.7973333333333333, 1.0, 1.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0
1.0, 0, 0.772, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0.5935483870967742, 0.11612903225806452, 1.0, 0, 0, 0, 0.8819672131147541, 0, 0, 0, 1.0, 0, 1.0, 0, 0.704
0, 0, 0, 1.0, 0, 0, 1.0, 1.0, 0, 1.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0.11066666666666666, 0, 1.0, 0, 0
1.0, 0, 1.0, 0, 0.9733333333333334, 0, 1.0, 0.43866666666666665, 1.0, 1.0, 0.27741935483870966, 0.535483870967742, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0
1.0, 0, 1.0, 1.0, 0.09333333333333334, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, 1.0, 0, 1.0, 0.10491803278688525, 0, 0, 0, 0, 0, 0.05733333333333333, 0, 1.0, 0, 0
1.0, 0, 1.0, 0, 0, 0, 1.0, 0, 1.0, 0, 0.6516129032258065, 0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0
1.0, 0, 1.0, 0, 0, 0.19, 1.0, 1.0, 1.0, 1.0, 1.0, 0.2645161290322581, 0, 0, 0, 0.8688524590163934, 0, 0, 0, 0.8327868852459016, 0, 0, 0, 1.0, 0, 0
1.0, 0, 1.0, 0.734, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 1.0, 1.0, 0, 0.712, 0, 0, 0.940983606557377, 0, 0.43934426229508194, 0, 1.0, 0, 1.0, 0, 0
1.0, 0, 1.0, 0, 0.22666666666666666, 0.91, 1.0, 0.22, 1.0, 1.0, 0.32903225806451614, 0.7419354838709677, 0, 0, 0, 0, 0, 0, 0, 0.9737704918032787, 0, 0, 0, 1.0, 0, 0
0, 0, 0, 1.0, 0, 0, 1.0, 1.0, 0.13333333333333333, 1.0, 0.8387096774193549, 0, 1.0, 1.0, 1.0, 0.9737704918032787, 0, 0, 0, 0, 0, 0.9253333333333333, 0, 1.0, 0, 0
1.0, 0, 1.0, 0, 0, 1.0, 1.0, 0.43733333333333335, 1.0, 1.0, 0.9419354838709677, 0.6838709677419355, 0, 0, 0, 0.39344262295081966, 0, 0, 0, 1.0, 0, 0, 0, 1.0, 0, 0
0, 0, 0, 1.0, 0, 0, 1.0, 1.0, 0, 1.0, 0, 0, 0, 1.0, 0, 0, 0, 0.9114754098360656, 0, 0, 0, 0.9786666666666667, 0, 1.0, 0, 0
1.0, 0, 1.0, 0, 0, 0.43, 1.0, 0, 1.0, 0.376, 0, 0.01935483870967742, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0
1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0.07096774193548387, 1.0, 0.0025, 1.0, 0.8819672131147541, 0, 0.8229508196721311, 0, 0.8688524590163934, 0, 0.7226666666666667, 0, 1.0, 0, 0
0, 0, 0, 1.0, 0, 0, 0.364, 1.0, 0, 1.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 1.0, 0, 0, 0.872, 1.0, 0.9253333333333333, 1.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0
0, 0, 0, 1.0, 0, 0, 1.0, 1.0, 0.8293333333333334, 1.0, 0, 0, 1.0, 1.0, 0.6, 0, 0, 0, 0, 0, 0, 0.664, 0, 1.0, 0, 0
0, 0, 0.582, 0, 0.25333333333333335, 0, 0, 0, 0.7333333333333333, 0, 0.17419354838709677, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 1.0, 0, 0, 1.0, 1.0, 0, 1.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0.10933333333333334, 0, 1.0, 0, 0
0, 0, 0, 1.0, 0, 0, 1.0, 1.0, 0, 1.0, 0, 0, 0.9483870967741935, 1.0, 0, 0, 0, 0, 0, 0, 0, 0.10933333333333334, 0, 1.0, 0, 0
1.0, 0, 0.316, 1.0, 0.9466666666666667, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 1.0, 1.0, 0, 1.0, 0, 0, 0, 0, 0, 0.656, 0, 1.0, 0, 0
1.0, 0, 0.126, 0.924, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0.5180327868852459, 0, 0.3586666666666667, 0, 1.0, 0, 0
1.0, 0, 1.0, 0, 0.73, 0, 1.0, 0, 1.0, 0, 1.0, 0, 0, 0, 0, 0.1377049180327869, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0
0, 0, 0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 1.0, 1.0, 1.0, 0.9737704918032787, 0, 0, 0, 0, 0, 0.6053333333333333, 0, 1.0, 0, 0.194
0, 0, 0.012, 1.0, 0.9733333333333334, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6387096774193548, 0, 1.0, 1.0, 0.928, 0, 0, 0, 0, 0, 0, 0.7546666666666667, 0, 1.0, 0, 0
1.0, 0, 1.0, 0, 0.04, 0, 1.0, 1.0, 1.0, 1.0, 0.12258064516129032, 0.24516129032258063, 0.896774193548387, 0, 0.928, 0.029508196721311476, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0
1.0, 0, 0.924, 0, 0, 0, 1.0, 0, 1.0, 0.6666666666666666, 1.0, 0.2645161290322581, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0
0, 0, 0, 1.0, 0, 0, 1.0, 1.0, 0, 1.0, 0, 0, 0.9483870967741935, 1.0, 0, 0, 0, 0, 0, 0, 0, 0.7546666666666667, 0, 1.0, 0, 0
0, 0, 0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.432258064516129, 1.0, 1.0, 0.04, 1.0, 0, 0, 0, 0, 0, 0.4826666666666667, 0, 1.0, 0, 0
1.0, 0, 1.0, 0, 0, 0.05333333333333334, 0.6, 0, 1.0, 0, 0.12903225806451613, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0
1.0, 0, 1.0, 0, 0, 0.73, 1.0, 1.0, 1.0, 1.0, 1.0, 0.896774193548387, 1.0, 0, 0, 1.0, 0, 0.8557377049180328, 0, 0, 0, 0.8613333333333333, 0, 1.0, 0, 0
0, 0, 0.012, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0
1.0, 0, 1.0, 0, 0, 0.6766666666666666, 0.9893333333333333, 0, 1.0, 0, 1.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0.013114754098360656, 0, 0, 0, 1.0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.0, 0, 1.0, 0, 0, 0, 0.904, 0, 1.0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0
0, 0, 0, 1.0, 0, 0, 1.0, 1.0, 0, 1.0, 0, 0, 0.9483870967741935, 1.0, 0, 0, 0, 1.0, 0, 0, 0, 1.0, 0, 1.0, 0, 0.08
1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 1.0, 0.6853333333333333, 0, 0, 0, 0, 0, 0.029508196721311476, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0
1.0, 0, 0.512, 0, 0, 0, 1.0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0
1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0, 0.416, 0.7377049180327869, 0, 0, 0, 0.6229508196721312, 0, 0, 0, 1.0, 0, 0
1.0, 0, 1.0, 0.316, 0, 0.03, 1.0, 1.0, 1.0, 1.0, 1.0, 0.3161290322580645, 1.0, 0, 1.0, 1.0, 0, 0.8950819672131147, 0, 0, 0, 0.49466666666666664, 0, 1.0, 0, 0
1.0, 0, 1.0, 0, 0, 0.9466666666666667, 1.0, 0, 1.0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0
1.0, 0, 1.0, 0.772, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0.7419354838709677, 0, 0, 0, 0, 0, 0, 0, 0, 0.8933333333333333, 0, 1.0, 0, 0
