barbarian_0_x, barbarian_0_y, barbarian_1_x, barbarian_1_y, barbarian_2_x, barbarian_2_y, barbarian_3_x, barbarian_3_y, barbarian_4_x, barbarian_4_y, barbarian_5_x, barbarian_5_y, barbarian_6_x, barbarian_6_y, barbarian_7_x, barbarian_7_y, barbarian_8_x, barbarian_8_y, barbarian_9_x, barbarian_9_y, barbarian_10_x, barbarian_10_y, barbarian_11_x, barbarian_11_y, barbarian_12_x, barbarian_12_y, archer_0_x, archer_0_y, archer_1_x, archer_1_y, archer_2_x, archer_2_y, archer_3_x, archer_3_y, archer_4_x, archer_4_y, archer_5_x, archer_5_y, archer_6_x, archer_6_y, archer_7_x, archer_7_y, archer_8_x, archer_8_y, archer_9_x, archer_9_y, archer_10_x, archer_10_y, archer_11_x, archer_11_y, archer_12_x, archer_12_y, giant_0_x, giant_0_y, giant_1_x, giant_1_y, giant_2_x, giant_2_y, giant_3_x, giant_3_y, giant_4_x, giant_4_y, giant_5_x, giant_5_y, giant_6_x, giant_6_y, giant_7_x, giant_7_y, giant_8_x, giant_8_y, giant_9_x, giant_9_y
40, -4, -5, -10, 30, 36, -17, 4, -8, -12, -5, 12, 44, 30, 44, -20, 42, -13, 36, 46, 6, 35, 42, 26, 30, 30, -15, -3, -11, 43, -15, 43, 45, -13, 13, -20, 34, 32, 37, -6, 35, -3, -3, 3, -5, 36, 5, -14, 42, 8, -15, -2, -20, -10, 17, 40, 8, -19, 35, 5, 35, -14, 34, 41, 40, 32, -10, -5, 44, 42, 33, 31
37, 38, -15, 43, -17, -18, -16, 43, 41, 11, 45, 41, 44, 29, 22, 47, 29, 7, 14, 36, -9, 43, 33, 9, 35, -14, 31, 9, 47, 33, 9, 34, -2, -1, 39, 45, -20, 47, -3, 43, -10, -11, 32, -16, 32, 38, 4, 45, -10, 2, -11, -2, -11, 47, -10, -9, 46, -10, 43, -6, -11, 45, -13, 25, 5, 41, 44, 33, 47, 3, -14, 34
30, 36, 45, 38, 38, 27, -18, 32, -9, -15, 37, -10, -17, -10, 6, 39, -19, -11, 44, 31, -9, -13, 46, 26, -10, 39, 44, 36, 31, -14, 1, -12, -3, 44, 19, 29, -3, -17, 18, 30, 34, 21, 38, 31, 38, 44, -17, 31, 7, 40, 30, 20, -15, -1, -11, 20, 24, -14, -3, -15, -8, 43, -14, 46, 11, -11, 6, -14, 37, 29, 47, -19
32, 32, 35, 2, 41, 21, 11, 42, -19, 22, 33, -2, 8, 36, 43, 36, 42, -4, 32, 17, -13, -11, 36, -6, 45, -14, 30, 44, 0, 41, -11, 46, 37, -20, -10, -17, -16, -10, 41, 1, -4, 45, 44, 33, 32, 24, 30, 38, 30, -17, 22, 37, 34, -17, -1, 39, 16, 38, -19, 24, 43, 33, 20, -10, 19, -9, -2, -14, 21, 33, 14, -20
30, 38, -13, 29, -15, 22, -20, 30, 8, -11, 45, 0, 35, 42, 29, 11, 47, 45, -11, 37, 26, 47, -4, 38, -4, 43, -7, 47, 10, -17, -12, 4, 38, -11, 39, 38, 18, -12, 44, -14, 33, -12, -18, -10, -1, 40, -14, 15, 32, 33, 33, 45, -7, 45, -7, -5, 46, -20, 43, -2, 32, 46, -8, 29, -17, -15, -20, -9, 32, 45, 46, -13
37, 36, 37, 6, -11, 19, -5, 7, -3, -16, 34, 41, 29, 2, 31, -2, -6, 43, 18, -2, -9, 36, 33, -9, 33, -12, 14, 42, -16, 37, 34, -6, 19, -3, 13, 38, 28, -20, -15, -17, -6, 2, -17, -8, 20, -13, 32, 22, 37, -20, 37, 34, 22, 46, -18, -17, 29, -16, 4, -11, -6, -3, -14, -7, 38, -7, 44, 24, 14, 37, -8, -9
-5, 12, -8, 35, 18, 40, -8, 23, 10, 47, 36, 38, -15, 15, 34, 45, -3, 37, 43, -7, 4, 31, 42, -11, 35, -18, -5, -18, -14, 25, 41, 13, -7, -5, 33, 16, 35, 36, 42, 0, 3, -7, 25, -7, 14, -16, -15, 44, 28, 42, 47, 29, 34, 28, 36, 15, -17, 42, -7, -15, 35, 41, -13, -6, 30, 7, 3, 33, -11, 17, 0, 30
-3, -14, 34, 16, 36, 0, 32, 44, -7, -17, 36, 6, -14, -18, 44, -20, -13, 36, -9, -1, 41, -17, -19, 16, 42, 10, 29, 25, 40, -5, 47, -2, 36, 46, 47, 43, 33, 43, 26, -3, -17, -2, 25, 29, -20, 36, 41, 39, 45, -3, 33, -10, -14, 1, 31, 36, 9, 46, -20, 8, -9, 10, 32, -10, -15, 8, -4, -19, 11, -13, -8, 35
-9, -10, 37, -9, 43, 43, -19, -11, -5, -19, -2, 43, 45, 4, 35, -20, -10, -20, -7, 42, -19, -11, 3, -2, 38, 1, 7, 41, 46, 32, -15, -9, 10, -11, -18, 2, 18, 37, 26, 34, 35, 42, -7, -3, 47, 44, 21, 35, -9, 41, 11, -3, -6, 47, 36, -8, 25, -4, 45, 11, -16, -2, 34, 27, 41, 7, -10, 31, -11, 24, 37, -7
46, -11, 34, 6, 0, 41, -4, 42, 47, 17, 47, 3, 6, -9, -4, 46, 31, 23, -20, 4, 46, 30, -12, 46, -19, 30, -19, -7, -7, 33, 43, 9, 24, -17, 34, 45, -4, 22, 27, 45, 11, 45, 17, 47, 8, 41, -4, 37, 25, -15, -17, 23, -4, 1, -5, 31, 44, 44, 34, -18, 29, -10, -10, -15, 37, 44, -18, 3, 32, -7, -17, 32
40, 24, -2, -6, 6, -8, 35, 5, -19, -8, 20, 36, 33, 12, -3, -16, -5, 14, 35, 1, 13, 44, 45, 13, 39, 46, 12, -4, -13, 17, -3, 8, 46, 32, -14, 40, 36, -9, 9, -19, 40, -19, 40, 41, 34, -19, 24, 37, 31, 41, 46, -20, 5, -12, 42, 31, 12, 37, 31, 40, 20, -4, 38, 35, 41, 31, 40, 10, 41, -3, 33, -2
28, 37, 43, -7, 31, 36, 42, -6, -6, 42, -5, -14, 42, -3, 36, 40, 4, -8, -19, 28, -1, -2, -11, -13, -4, 40, 43, 31, -13, 45, 30, 27, 43, -15, 43, 12, 42, 25, 23, -3, -10, 24, -18, 41, 32, 34, -4, 40, -20, 36, 31, 43, -13, 43, 29, 25, 28, 29, -6, 23, 35, -16, 35, 41, 19, 34, -18, 8, 45, 13, 43, 39
19, -20, 37, -11, -9, 46, 39, -6, -14, 0, 46, 11, 2, 32, 34, 25, -4, -6, -2, 36, -6, 43, 30, -4, 47, 25, -6, -17, -19, -12, 39, -20, -10, 25, 35, -10, -4, -13, 42, -8, -5, 17, 12, 39, 42, 41, -13, 44, 27, -15, 26, -16, -20, -12, 42, -4, 13, -8, -14, 40, -8, 41, 44, 43, 20, -2, -12, -4, 21, 32, 6, 32
-18, 24, -5, 28, -20, -17, 34, 42, -11, 42, -10, 17, 40, -8, 31, -8, -20, 37, 15, 42, -5, 33, 44, 40, 45, 35, -5, 39, 36, 40, 5, -15, -8, 10, 14, -12, 25, 30, -11, -11, -5, 24, -2, -12, 9, 45, 32, -17, -15, 47, 36, 3, -9, 46, 32, 3, -17, -13, 28, -4, -2, 32, 29, 28, 24, -15, 41, -15, -15, -15, 37, 33
29, 41, 11, 31, 13, -6, 14, 37, -16, 13, 31, 46, 40, 29, 37, -19, 16, 37, 41, -5, 43, 40, 7, 32, -17, 0, -15, 3, 19, 41, -14, -12, 46, 26, -11, 1, -14, -18, 45, 46, 35, -3, 45, -3, -2, -5, -9, 22, 47, -3, 45, -5, 36, -3, 18, 37, 41, 28, 33, 20, 43, -20, -6, -11, 40, -7, 37, -17, 2, -3, 36, 21
-5, 12, 29, 47, 39, -12, 43, -6, 38, 42, -16, 44, 15, 36, 45, -3, -2, 22, 44, -19, -17, -3, 16, -2, 11, -9, -6, 20, -4, 0, 30, 10, -17, 12, -1, -9, -15, -4, 37, -12, -13, 5, -7, -7, -6, -2, 39, 9, -19, 23, 11, 33, 35, 44, 35, 26, -12, 12, -17, -6, -3, -8, -19, 39, 29, -17, -18, 37, 34, -2, 35, 40
36, 7, -3, 34, 23, -9, -19, -11, 25, 40, -18, -3, 33, -15, 11, -16, 17, 36, -1, -12, 43, -8, -4, 24, 47, 9, -6, 29, 36, 14, 45, 20, 36, 42, 38, -11, -15, -16, -12, -4, -2, -20, 38, 19, 30, 2, -20, -8, 30, 5, -15, 44, -10, 45, -3, 47, 31, 36, -11, 41, 6, -7, 25, 29, 39, 47, -8, -18, -4, 46, -8, -11
30, -4, 36, 18, 3, 35, -17, 33, -5, 39, 24, 42, 23, -5, 25, 37, 6, -12, 9, 34, 38, -11, -20, 19, 16, -9, 32, -2, 29, 38, 37, -3, 47, 12, 41, 41, -3, -20, 40, 38, 30, 24, 35, 40, -19, 34, -6, -20, -2, 39, 40, 41, 33, -12, 36, 19, -19, 13, 33, 37, -9, 33, -8, -18, -20, 23, 40, -13, 43, 32, 37, -13
-15, -19, -14, -12, 15, 42, -8, 30, 18, 31, 9, -2, 12, -8, 31, 41, -2, -9, -17, -10, -8, 20, -20, 23, 30, 33, 44, -19, -19, 33, -8, -16, 46, -16, -3, -2, 38, 22, 26, 36, 32, -7, 33, 10, 44, 39, -15, -16, 37, 41, -18, -8, -16, 38, 30, 19, 45, -19, -19, -7, 14, -16, -8, -14, -16, 2, 44, 43, -18, -14, 32, 11
30, 38, 41, -11, -8, 1, -11, 1, 29, 15, 45, 4, -20, -7, 8, 34, 45, -18, 39, 45, 2, -3, 34, 13, 34, 38, 33, 24, 36, 35, 36, 24, 7, 30, 44, -6, -2, -18, 12, 37, 24, -6, 40, -4, 46, -6, 46, 1, 31, -5, -12, 28, 16, 43, -17, -18, 16, 34, -2, 12, -15, 31, 32, -18, -12, -11, -1, 43, 47, 38, 43, 38
28, 46, 25, 42, 47, 1, 41, 17, 33, 28, -19, -4, 32, -15, -7, -19, -5, 42, 33, 19, -14, 9, 45, 32, 45, 30, 12, 46, 2, 47, 30, 47, -4, -8, 15, 36, -19, -16, 42, 13, 47, 32, -13, 24, -19, 6, 46, 43, 31, 18, 31, 26, -17, -6, -10, -10, 46, -9, -14, -16, -19, 32, 41, -18, -18, 44, -5, 0, -17, -16, 35, 9
-18, 19, -6, -8, 28, 36, -17, -14, 41, 7, -17, -18, 30, -3, 35, -5, -10, -2, 34, 3, 33, 38, -7, 16, -5, -9, -9, 47, 17, 31, -10, -4, 4, -10, 8, -6, 29, 21, 35, -17, 36, 17, -12, 37, -11, -14, -3, 36, -20, 33, 11, -18, -14, -10, 47, 11, 45, -18, -1, 47, 40, 44, -10, 1, 12, 37, 42, 41, -12, 32, 43, -14
-7, -5, 45, -17, 16, 31, -15, -16, -19, 35, -20, 32, -12, 47, 33, 20, 40, -14, 7, 35, -17, 35, 14, -8, -16, 5, 20, -19, -9, 45, -3, 45, -10, -3, 45, -3, -5, 14, -16, 35, 46, 9, -5, 31, -2, 47, -6, -20, -15, -16, -2, -12, -1, -17, 31, 39, -13, -15, 16, -9, -6, 31, 46, 25, -16, -20, 14, 35, 32, -10, 39, -18
43, 41, 34, 46, 47, 43, 4, 36, 47, 10, 44, -14, -10, -13, 37, 3, -12, -7, 26, 33, 4, 37, -9, 17, -11, 31, -12, 4, 27, 43, -17, -4, -13, -12, 2, -10, 29, -18, 37, 5, 40, -17, 29, 12, 44, 43, -13, 37, 39, 6, 43, -13, -11, 38, 13, -2, 38, 24, 7, 29, 40, 44, 38, 26, 16, -20, -20, 10, -8, -4, 41, 4
5, -10, 44, 34, 27, 41, -11, 41, -16, 42, 38, 43, 43, 41, -7, -20, 29, -13, 35, -20, 40, 13, 28, -20, 31, 17, 32, 32, -15, 26, 11, -13, -6, 34, 10, 42, -7, 32, 31, -13, -20, 21, 36, 46, -4, -12, 33, 8, -2, -3, 9, -9, -12, 1, 45, -6, 23, -13, -2, 32, 46, 1, 39, 43, 9, 30, -15, -14, -12, 39, -14, 4
-15, 20, 16, -17, 19, -16, 34, 47, -16, 35, 26, -8, -5, 24, 26, -19, -1, -7, -14, 46, 18, 29, -18, -6, 0, 36, 41, 45, 41, 35, 45, -15, -2, 10, 29, -14, -13, 33, -1, 37, 40, 41, 29, 38, 46, 16, 32, 37, 43, -17, 25, -15, 31, -18, 15, 38, 33, 21, 46, 46, 35, -10, 0, 41, -1, 33, -11, 46, -15, 34, -2, -7
27, -4, 38, 23, -6, 30, 4, -14, -13, 19, 46, 42, -6, 7, 37, -8, 45, 43, 38, -20, -4, -10, -15, 45, 33, 21, -9, 32, -8, 30, -9, -18, 38, -2, -5, -17, 41, 44, 42, 43, 33, 1, -10, 31, 25, -8, 27, -15, 24, 39, 10, -6, -15, -8, 16, -18, -18, 40, 37, 30, 6, 42, -4, -10, -19, 25, 36, -19, 42, 9, 43, -13
42, 33, 29, 8, -15, 35, -3, 35, 46, 36, 8, 42, 36, -8, 25, 34, 35, 44, -2, 42, -7, 42, 31, -12, -14, 6, 36, -9, -16, 45, 42, 40, 16, 47, -16, -14, 42, 33, -14, 47, 0, 45, -9, -20, -17, 14, 38, 38, 22, 30, -10, 3, 11, -13, -12, 45, 23, 29, -4, -17, -8, -13, 25, -15, 32, 30, 46, 24, -15, -10, -2, -19
3, 44, 42, 6, -9, 43, 17, -8, 36, 40, -7, 6, 34, -18, 41, -15, 17, 32, 6, 39, 32, 27, 10, -3, -5, 33, -12, 46, -17, 4, -5, 29, 45, 40, -14, 46, 35, -8, -18, 18, 28, 31, -18, 30, 43, 45, -5, 41, 30, -3, 43, 31, 30, -20, 40, 47, 40, 32, 35, -13, 7, -12, -17, 10, 33, -7, 29, 23, 46, 45, -14, 10
18, -7, -6, 27, -15, -17, 30, 29, 18, -12, -16, -10, 42, 12, 38, -8, -2, 43, -3, -12, -5, -5, 41, -19, -19, -19, 20, 38, -20, -18, -14, -9, 21, 33, -5, -11, 43, 35, 44, 47, 37, -11, -4, -14, 26, -3, 41, -8, -9, 28, -19, -11, -9, 34, 41, -16, 43, -15, 21, -5, 16, 46, 0, 31, 38, 31, 30, 31, 0, 30, 37, 28
-3, 0, 30, 25, 13, 41, 42, -9, -10, 46, -7, 21, -14, -18, -12, -8, -8, -19, -20, 45, 30, -5, -12, 36, 29, 22, 44, 35, 14, -9, 38, 34, 21, 47, -19, 41, 30, -19, -16, -12, -7, 11, -6, 38, 41, 27, -20, -17, -20, -5, -18, 0, -13, -10, -12, -10, 8, 36, 32, 35, -17, -15, -10, 9, -16, 29, -8, -20, -14, 28, 43, -3
-17, 8, 32, 13, -3, 26, -10, 7, -15, -19, 37, 35, 46, -14, -17, 41, -11, 35, -3, 38, 46, -10, -13, 29, 35, -7, 10, 47, 44, 22, 44, 12, 2, -2, 42, 13, -10, 45, -13, 7, -4, 42, 45, 47, -6, 25, 33, -7, 24, -13, 29, 11, -4, 37, 28, 44, 46, 45, 34, -3, 37, 43, -6, -2, 45, 40, 38, 12, -17, -9, -9, 39
5, 44, -13, 36, -7, -19, -10, -14, 38, 39, 20, -9, -9, 4, 14, 47, -13, 3, 41, -4, 36, 13, 38, 42, -14, 24, -7, 38, 44, -6, 44, -4, 36, -18, 38, -6, 0, -15, 44, 41, 36, -3, -4, 8, 30, -14, 47, -8, 12, -9, -10, 17, -13, 46, 7, -7, -1, -16, -6, 38, 45, 0, 29, 25, -12, 31, 44, -14, -12, 28, 18, -17
-7, -18, 19, -8, -6, 1, 41, -15, -2, -10, 46, 29, -14, 37, 38, 2, 25, 42, -6, 36, 16, -20, -20, 29, 30, 11, 26, 32, 39, -3, 30, 44, -10, 1, 0, -18, 28, 45, 41, 40, -4, -17, 35, 12, 9, 38, -17, -8, -8, 35, 2, 35, -10, 9, -8, -10, 44, -17, 25, -2, 33, 26, 25, -18, 24, -18, 29, 31, 43, 47, -5, 7
-14, 37, 28, -8, -12, 22, 21, 37, 19, -2, 32, 47, 37, 34, 41, 27, -11, 13, -5, 3, -4, -8, -5, 41, 38, 34, 10, -16, 19, 41, 6, -19, 36, -19, 7, 42, -4, -14, 47, -8, 29, -13, 14, 45, 43, 12, 19, 38, 38, 0, 47, -3, -11, -16, 34, 44, -2, 47, 8, 34, 45, 46, 34, 34, -3, 5, 46, 33, -4, 10, 42, -6
37, 6, 37, 34, 47, 5, -14, -7, 37, 28, -13, -8, -10, 26, -11, 0, 31, 43, -4, 31, 44, 2, -5, -13, 29, -20, -20, 34, 13, -12, -1, -8, -20, -16, 47, -9, 17, 36, 12, 36, 34, 42, -7, 44, 43, 25, -15, 2, 29, 41, 41, -20, 29, 28, 46, 36, -20, 23, -10, 7, -5, -6, 22, 43, 2, 47, 41, 42, 32, 40, 36, -5
-15, -18, 33, 46, 29, -12, -6, 23, 35, 2, 6, -10, 45, -19, 34, -20, 29, 28, 4, -16, 15, 46, 40, -5, 34, 15, 47, 44, 37, -11, 8, -19, 14, 38, -15, 46, 12, -12, -15, 17, 30, 33, 15, -11, 30, -14, -20, 30, 33, 36, 35, 33, -5, 15, 2, -4, 20, -18, -14, 37, -19, 5, -16, -11, -16, 36, 10, 44, 46, 17, 12, -13
27, 32, 37, 45, -4, 41, -14, 15, -3, 19, 7, -2, -2, 29, 10, -8, 32, 47, 45, 17, 33, -5, -13, -16, 35, 4, 45, -17, -5, 43, 35, 34, -20, 32, -3, 47, 25, -4, -10, 26, 13, 47, 11, -19, 24, -4, 34, -16, 44, 4, 25, 46, -15, 3, 19, 42, 31, -20, 36, 6, -4, 24, -12, -11, 35, 26, 27, -11, -7, 0, 42, 30
-6, 24, -19, -13, 22, -14, -4, -5, -19, -8, 45, 42, -9, 32, 1, 44, 46, 39, 35, -7, -14, -11, 44, -14, -6, 19, 20, 44, 15, 45, -16, 18, 37, 40, 31, -19, 32, 8, 47, 43, 46, -13, -16, 40, 10, -14, -17, 1, 22, 42, 34, 41, -10, 36, -2, -11, -17, 0, 38, -2, 32, -17, 27, 39, 42, 4, 46, -19, 22, 35, 46, 0
29, 46, 44, 28, -11, 3, -11, -9, -7, 2, 36, 12, -16, 13, -9, 17, 35, -20, -2, 35, -4, 19, -6, -15, 31, 9, -10, -9, 39, -13, -1, -18, -19, 30, -11, -6, 7, -8, -2, 0, 1, 29, -14, 29, -19, 45, 44, 45, 7, -4, 11, -16, 47, 43, 32, -1, 15, -9, 36, 46, 28, -10, -20, -2, 39, -6, 25, -14, -12, -14, -5, 36
47, 33, -4, -7, 9, 40, 34, 35, -9, 30, 44, 5, 29, -16, 44, 21, 35, 14, -8, 46, 15, 46, 41, -3, -9, -15, -8, 8, 31, 40, -17, 3, -4, 47, -18, -1, -9, -13, 28, 29, 10, 41, 38, 24, -19, 4, -16, 40, 12, 41, 39, 32, -8, 40, 43, 39, 45, 38, 45, 35, -15, 40, 38, 38, 46, 30, 33, 13, 44, 16, 39, -7
29, -9, -19, -19, -12, 23, 11, -5, 1, 41, 29, 47, -5, 5, -4, 10, 9, 32, -6, 29, 35, 41, 8, 30, 27, -5, -11, 46, 46, -15, 20, 35, -1, 31, 11, -10, 41, -15, 38, 34, -17, -12, 43, -6, 29, 43, 19, -20, 46, 20, -1, 33, -14, -18, 32, -4, 38, 4, 47, 0, -19, 43, -17, 30, -16, -13, 9, 29, 21, -19, 30, -20
43, 9, 47, 19, 34, 9, 14, -11, 29, 41, -20, -2, 32, 14, -7, 42, 9, 44, 39, 9, -19, 9, 14, 40, 45, 35, 32, 18, 38, 25, 42, 33, 9, -13, -13, 14, -18, -1, 2, 31, 41, 17, -19, 29, 34, 17, -18, 32, 30, -14, 25, 36, -7, -18, 8, 39, 17, 46, 33, -14, -2, 43, 39, -17, -17, 23, -9, -14, 39, 0, 5, -12
3, 35, 33, 42, -16, 1, -7, 17, 34, 24, -7, 20, 3, -16, -18, 38, -6, -11, -11, 3, -13, -6, 43, 31, 45, 15, -19, -6, -20, -20, 40, -1, 0, -3, -7, 22, 44, -16, -4, 40, 29, 26, -5, -14, -2, -5, -20, 37, 14, -3, 46, -2, 34, 35, -3, 33, 44, -12, 9, 42, 10, 32, -12, -1, -9, -2, -10, 33, -10, -13, 43, 12
35, -19, -1, 37, 32, 35, -12, 47, -13, 28, -18, 32, -12, 18, -15, 30, -4, -13, -3, 46, -14, -10, 34, -2, 40, -9, -11, 32, -19, 19, -9, 5, 36, 22, -7, -3, 15, -18, 33, 33, 43, -14, 44, -10, 33, 43, -8, 25, 39, 39, 47, -16, -8, 42, 16, 44, 35, -12, 47, 24, 21, -9, -8, -5, 32, -10, -2, -4, 44, -16, -10, 33
30, -3, 40, 42, -3, 9, -19, 42, 26, -8, 5, -5, -3, -15, -15, -8, 35, -9, 31, 43, 38, -11, 35, 35, -2, 44, 11, -20, 31, -14, -5, -1, 25, -7, 2, -6, -3, 7, 17, 37, -13, 16, 40, 21, -2, -2, 9, 31, 25, 29, 37, 6, 47, 6, 17, -13, 39, 18, -17, 34, -16, 30, -3, -18, 35, -7, 14, 30, -18, 29, 38, 44
