barbarian_0_x,barbarian_0_y,barbarian_1_x,barbarian_1_y,barbarian_2_x,barbarian_2_y,barbarian_3_x,barbarian_3_y,barbarian_4_x,barbarian_4_y,barbarian_5_x,barbarian_5_y,barbarian_6_x,barbarian_6_y,barbarian_7_x,barbarian_7_y,barbarian_8_x,barbarian_8_y,barbarian_9_x,barbarian_9_y,archer_0_x,archer_0_y,archer_1_x,archer_1_y,archer_2_x,archer_2_y,archer_3_x,archer_3_y,archer_4_x,archer_4_y,archer_5_x,archer_5_y,archer_6_x,archer_6_y,archer_7_x,archer_7_y,archer_8_x,archer_8_y,archer_9_x,archer_9_y,giant_0_x,giant_0_y,giant_1_x,giant_1_y,giant_2_x,giant_2_y
-17,11,3,-2,0,-19,34,41,13,-7,-14,-14,33,38,48,20,28,46,-1,47,-1,-4,-12,27,-15,-4,28,-2,-3,4,43,9,-2,41,-16,19,35,-9,47,-6,-10,44,32,-2,49,13
-20,-12,15,35,22,45,4,-17,-6,34,16,-14,22,38,40,42,45,40,49,35,33,3,7,37,-16,2,22,-5,21,-4,-6,-17,38,27,17,-6,48,5,12,-12,-13,7,22,-15,-10,17
-11,-10,-19,9,39,32,-13,31,36,-11,18,47,5,-17,-4,35,29,45,-13,37,46,-12,-6,31,-14,17,29,38,38,-1,47,13,33,42,-11,-2,24,-16,-10,14,43,5,2,-15,19,32
46,13,-19,-1,38,-7,33,47,41,-10,-11,-8,38,42,48,6,-6,21,25,44,49,-20,-12,-7,9,-13,36,29,12,-8,-16,5,35,36,-6,-2,20,-12,-12,31,-6,9,-4,-19,28,-9
-12,-17,20,-16,-15,28,21,40,39,4,-9,2,19,-6,34,-10,35,34,38,-20,-6,-17,7,47,-5,15,35,-2,26,41,19,44,37,40,12,-10,6,44,-10,-1,-18,9,37,31,45,38
19,39,32,-8,13,-5,13,43,-12,-10,-14,19,44,-5,32,14,-12,28,38,-20,43,6,44,18,47,6,-10,11,-7,-18,33,4,47,4,25,-14,7,43,39,5,-13,45,-6,11,12,39
-15,-2,-11,-17,-9,42,23,-3,19,-10,33,-12,35,15,-2,3,-15,18,-1,-9,-12,-17,39,-14,-19,-8,8,-4,33,-6,0,-11,25,-2,-2,18,-2,-11,32,21,34,-18,-6,28,4,-14
-17,44,35,-17,39,12,-18,9,24,-19,32,47,-8,-6,34,-2,-15,17,-7,14,-17,-16,35,28,43,0,32,1,33,43,-18,-6,33,-16,49,49,41,-3,33,1,6,34,-6,8,-10,26
-13,3,40,9,44,-3,18,-15,-10,5,12,47,-2,-4,40,42,46,30,41,-10,7,-8,15,37,7,-10,43,37,-3,45,41,9,-4,36,-1,34,-3,40,-18,18,-1,34,-15,32,-14,-2
40,45,39,-19,48,40,-15,3,45,-4,49,27,31,-10,17,-14,17,49,43,18,-4,29,33,12,-13,44,40,27,44,-2,31,37,40,-2,48,-8,34,0,22,-14,-11,20,2,-19,24,40
30,49,6,38,44,3,38,32,46,14,-19,40,41,1,16,-15,-20,45,-18,8,-3,5,46,32,-3,30,36,8,10,39,-9,22,49,26,4,-12,-3,-2,-11,42,24,-6,-13,4,41,-8
38,44,-14,-13,7,-18,49,19,32,21,-19,28,-7,18,46,-3,-1,46,39,-20,40,49,-14,-8,24,-17,-16,14,25,-7,30,40,33,28,-9,46,24,-17,21,43,47,15,-4,-3,19,45
-19,32,32,49,45,22,5,-19,12,36,-19,39,36,13,-17,44,-20,-3,7,-9,-11,-6,36,-10,13,35,14,-11,-11,38,-20,41,18,-17,-11,17,46,37,-1,-15,16,-14,40,26,-7,37
12,41,-18,12,37,-15,48,12,17,-14,38,-3,5,49,47,25,34,-12,-11,42,35,-20,-9,11,30,-6,38,13,-17,43,-14,-6,-16,11,45,16,28,-19,-11,28,12,-13,13,-11,-14,8
8,-11,-16,9,-18,33,-17,4,-11,28,38,7,-9,-13,-17,25,38,40,-4,44,27,48,15,-13,-4,-19,7,34,36,-3,45,21,-7,22,45,1,24,-3,32,34,49,-11,32,11,-6,30
49,40,3,-11,27,-5,-19,3,36,8,38,-19,17,32,-5,-14,48,-5,-17,11,-4,-14,35,17,48,42,-15,-16,48,1,7,-4,-9,30,9,39,37,38,-10,-1,-18,48,-20,-12,15,-4
-3,6,38,1,28,40,30,-14,15,47,28,-14,36,35,25,-6,47,13,36,37,-4,11,-8,-14,45,20,-8,8,47,37,7,-5,24,35,27,46,49,-11,-6,28,-5,0,49,-17,19,-13
37,45,44,28,-8,20,33,29,-3,4,31,44,35,17,-6,10,38,-7,47,16,35,29,-7,-17,-7,47,47,40,42,45,26,-17,-16,-5,28,40,45,35,34,-17,28,-8,-7,38,-12,38
-16,43,13,-12,17,-11,-3,47,45,37,-18,10,-5,0,-14,33,-10,13,16,37,-17,28,16,49,35,8,44,-12,35,-2,27,37,-3,24,17,32,44,-14,-11,19,-17,-14,-3,5,39,-18
17,47,29,-19,-6,14,-9,38,-17,41,41,42,42,35,8,33,44,16,-11,19,12,47,-2,25,33,8,-15,-9,26,41,-16,41,-17,16,-6,44,37,5,-12,-15,28,-4,-17,-4,26,-13
36,10,7,49,27,37,35,-19,33,35,25,35,45,44,-14,46,-3,-19,27,45,-11,-19,10,-8,45,10,9,34,23,32,49,-20,-1,-12,15,48,33,26,-8,21,14,-9,5,-3,35,-8
32,-13,-18,-11,49,26,28,37,10,-8,-19,47,48,49,36,44,16,-5,-7,15,33,-18,10,43,35,-19,29,-6,29,-3,0,41,47,-12,26,43,18,-12,17,-16,-18,30,-3,-18,11,44
39,37,-19,-7,-1,37,-2,29,-7,27,40,10,7,48,14,-7,47,-6,22,-4,-18,-6,9,44,9,32,31,-4,42,-5,21,-10,44,38,37,35,33,35,37,-13,21,40,33,5,37,48
35,40,49,9,-9,-1,22,-7,-8,19,49,30,-19,7,41,41,47,-18,34,3,16,-15,-12,14,-2,-13,49,40,41,14,28,46,-12,36,44,2,19,-5,36,-15,34,4,19,42,-17,31
-11,-15,-16,36,39,-7,0,43,-14,21,1,38,43,42,-11,-6,47,40,14,-14,6,34,38,35,45,49,-2,20,-19,17,11,-18,-6,30,38,14,1,47,41,41,32,40,38,-1,34,21
35,36,-12,-19,43,-4,34,20,31,-17,-18,-16,-19,-2,-17,22,11,-7,35,23,-17,40,18,-8,49,20,12,36,48,1,-18,36,-19,14,29,-5,3,-12,34,30,4,40,33,28,1,-15
20,45,46,17,-8,-18,18,49,-3,44,30,45,31,-13,-6,9,-8,3,1,46,-14,44,40,16,40,19,30,-18,45,40,12,-7,-18,44,24,-7,34,43,-16,6,45,-3,42,35,20,49
-15,36,38,13,-9,4,-13,49,41,-3,13,33,46,20,-4,44,-18,15,0,-6,-20,46,36,-1,-3,7,-8,-1,18,41,-3,15,27,39,47,31,37,13,5,45,26,33,-17,49,-10,5
33,36,-14,40,-16,11,-15,41,-16,28,41,35,-13,16,38,11,5,-17,21,-13,37,31,39,7,-15,-19,1,-10,-5,42,-9,-19,33,26,2,-16,31,-19,22,-6,26,34,-8,-19,-17,2
33,8,4,-12,29,-13,-18,14,31,-5,24,40,35,44,48,-14,-4,-4,42,46,21,48,15,-9,-20,32,39,43,49,1,5,36,11,36,46,19,39,41,41,38,47,-2,1,-13,33,30
43,19,48,12,-11,25,36,28,-20,-7,0,-19,48,7,-11,42,3,41,-14,1,-17,24,38,40,46,-18,-19,-1,31,49,32,-6,47,48,10,43,1,39,13,36,42,24,46,17,2,48
47,-8,47,18,29,38,47,21,1,-5,21,37,11,40,-11,-12,-7,-7,43,13,18,43,-14,19,-17,-14,12,46,48,-10,7,45,29,38,15,32,31,41,10,41,12,-13,42,-9,37,33
46,10,-18,-20,-1,-15,26,-19,5,-17,-18,26,10,-3,47,24,37,3,-6,-2,49,-4,41,6,42,25,-18,-3,45,-11,41,46,9,-3,42,14,-10,31,45,40,32,49,-18,18,39,-19
42,39,35,-2,-20,38,48,-14,38,44,-15,27,17,-11,11,33,46,0,49,30,23,34,-7,49,34,-18,0,35,25,-16,17,-17,45,-4,-15,-1,26,33,46,23,19,45,-17,40,19,-5
43,0,6,48,44,11,-5,35,24,-14,12,-14,17,39,-20,45,10,-17,18,37,9,45,35,31,47,-16,-4,-11,33,10,29,34,36,-15,44,12,32,38,-4,-6,45,-1,16,-17,-13,49
-2,-11,25,-12,46,2,-13,28,37,11,-15,-14,43,8,5,35,40,-3,37,-17,8,-3,41,-4,-5,10,45,4,48,16,2,41,-11,36,13,37,41,7,-15,43,37,12,39,34,-18,43
39,15,30,40,-19,44,35,-7,-11,18,-8,7,6,-4,14,-8,-10,-3,-15,5,20,-8,37,-20,-2,24,4,49,31,46,42,39,47,26,25,43,48,-3,3,-5,44,24,-13,21,-11,42
0,42,-8,-14,-19,-13,40,-3,7,41,-10,41,26,-3,44,26,44,29,43,2,44,6,34,40,36,25,38,27,46,-14,14,49,-11,27,-11,-18,5,32,9,41,-19,-19,-1,-2,20,-15
-11,-9,37,26,23,34,32,32,46,44,-7,22,-12,3,43,28,-14,40,33,23,-3,19,-15,-20,-6,-18,16,39,-11,28,32,24,48,14,31,-4,3,47,-18,33,27,46,-18,-7,-7,18
-12,-3,48,7,23,-16,-5,-11,-1,-5,-12,16,45,44,-9,-2,40,34,31,34,-11,-12,-19,17,41,-6,-3,47,-8,1,13,36,-14,15,45,40,28,41,-4,-19,12,48,5,-18,16,33
-19,32,45,-18,47,-9,30,48,22,-9,48,-20,38,29,-14,-17,42,22,-8,17,14,-9,43,33,16,-7,-18,-17,33,20,35,-17,15,36,-4,-17,39,-20,-15,3,49,18,-20,-12,-9,6
-13,-15,49,18,-20,49,15,41,34,42,-20,-11,16,-6,-3,-9,20,-13,49,-14,46,25,18,-3,49,28,16,36,-7,35,-12,-8,-9,-2,28,49,-15,-12,22,-2,48,-6,13,42,36,-14
-3,15,-13,27,38,47,-20,36,-15,11,31,42,-13,27,-20,-5,44,-1,25,41,-8,4,-14,-4,7,40,33,-2,-20,38,15,-11,-14,14,18,36,37,-2,43,40,32,6,26,-8,27,-4
36,12,-15,-11,20,-15,-7,28,-4,45,41,2,-2,48,7,-18,-1,-9,-20,36,42,30,8,47,-12,5,40,-10,49,-12,-6,15,7,40,24,-12,-17,12,31,41,18,42,47,-13,-15,20
19,46,38,9,34,25,-13,-19,10,-14,23,37,33,1,0,37,28,43,33,41,37,-9,8,-8,-3,48,47,-14,26,-16,9,38,-19,37,1,-4,32,45,-18,25,7,47,38,36,33,36
-16,39,12,40,-14,3,33,38,38,7,-2,30,-5,18,29,37,20,-18,6,-10,1,44,34,18,21,-14,26,34,-14,-11,39,-15,47,18,2,34,46,49,9,-17,-8,8,20,-11,30,45
42,49,40,-19,-19,19,38,-14,8,34,-19,25,-3,-10,40,32,33,22,27,-7,-5,-13,1,-3,26,41,32,6,45,-6,48,1,40,-11,33,-4,37,35,-1,32,-10,-17,36,9,35,43
28,40,33,33,18,-9,-19,35,17,48,34,16,39,33,-2,33,47,36,42,42,-2,-16,38,16,37,45,-2,-5,36,48,10,-14,-1,-19,10,-6,35,-6,26,-11,-18,-17,-9,9,26,-5
30,49,12,-10,20,-7,4,43,35,13,16,35,8,37,-16,37,39,-9,24,35,-3,34,34,41,39,25,16,-7,49,-17,27,46,-19,27,40,28,45,9,31,-16,49,-5,23,-2,48,33
-19,35,-19,40,7,45,-10,-2,25,45,29,32,-17,-11,-14,-16,43,10,14,-2,-4,-18,-18,36,44,-4,37,8,-13,13,0,-5,-8,-7,37,37,41,47,25,-12,29,39,-16,35,20,41
27,44,-8,29,-17,46,43,24,-9,-19,-5,39,20,-11,10,-13,-12,-7,41,12,-19,12,33,8,-14,14,27,-19,39,-17,22,-10,-12,35,13,-18,-14,8,-12,29,-18,-9,38,0,-13,6
-18,18,-10,33,-4,28,20,-4,-11,8,43,44,32,-14,-4,2,48,49,49,-11,46,5,34,32,37,-20,36,-4,19,45,13,-5,-15,5,41,37,48,31,0,-7,32,-18,-18,44,-1,-14
35,-12,42,-12,42,36,-1,32,-4,11,-14,-9,-7,37,46,26,43,5,-12,10,-10,30,20,42,-5,-6,-2,43,-16,-4,38,-8,11,35,14,-2,-8,-16,35,15,-6,-10,-4,2,-9,31
-2,13,43,14,19,-7,4,48,-19,35,32,16,2,-13,11,-16,42,40,48,22,10,43,7,-2,35,6,35,34,34,27,45,1,46,2,33,0,-18,47,27,-6,35,31,35,15,43,8
16,-6,-20,37,-15,40,32,-10,33,46,26,33,-16,-11,37,48,-10,49,-5,-7,16,-6,47,20,16,37,-12,32,-17,13,-6,16,-9,39,36,32,-20,37,34,2,49,17,47,43,-19,47
31,-8,34,-1,9,42,-5,10,44,22,0,49,37,-12,46,-13,37,32,-10,17,13,-13,48,37,-1,35,-7,-19,35,-6,24,-13,37,-18,19,45,43,16,30,-19,-15,16,38,0,-2,32
45,9,40,-7,-3,-2,-8,28,-9,-17,48,30,17,-14,-17,46,34,-13,9,-16,-11,37,-17,26,15,-19,-17,37,-16,-10,-10,4,49,-16,-5,20,44,12,47,26,13,-18,-12,47,35,13
3,-14,34,38,-5,12,42,31,38,37,34,47,-11,4,36,-11,-18,20,40,43,32,16,-12,-15,-12,-5,-19,29,36,46,26,33,45,-5,28,40,-13,48,-19,38,37,15,-8,15,-5,-14
41,19,40,-6,-8,19,-12,12,4,38,2,-18,43,40,-11,21,-13,-1,46,29,38,19,43,1,9,35,47,-12,35,17,37,-4,39,14,11,-15,-7,39,24,49,14,43,-17,41,47,-8
15,34,42,41,-7,22,48,45,46,44,41,49,11,-15,-12,32,48,2,-3,38,30,-12,2,33,27,46,-2,12,39,-14,-16,18,-16,12,37,33,-6,27,40,-12,-18,7,13,-6,44,-15
-15,33,46,-7,-11,18,20,37,-18,-18,3,-11,-10,44,4,44,9,38,36,-20,4,35,42,2,26,-12,-6,44,31,33,45,-10,44,15,-20,42,-15,-10,44,34,3,35,-15,-9,42,38
31,-2,8,44,43,-11,13,49,45,-10,7,42,24,48,33,46,-7,27,47,45,-9,34,-3,10,45,6,0,-6,47,6,-12,-10,10,-18,-17,12,-11,-6,24,-3,40,12,38,9,48,3
39,15,39,10,-5,-7,46,16,37,-13,34,26,34,4,35,11,10,-15,-17,40,32,46,43,0,30,45,48,26,13,-8,12,-3,14,47,8,49,24,-13,47,22,43,20,-9,20,3,49
-19,-13,-10,30,36,24,35,43,30,41,-6,12,15,-8,23,39,-9,30,38,-2,17,-4,22,-9,-14,15,36,45,-11,-8,21,34,34,-7,33,-15,-16,33,-19,-17,9,33,25,-5,23,-15
-20,43,28,-7,26,-18,-20,43,15,32,49,2,-16,17,-12,23,34,34,-4,12,2,-12,-12,34,-6,24,-6,-2,-7,34,39,23,48,-8,41,47,44,17,25,-6,38,23,-2,-5,6,-8
-20,-2,6,-10,-8,46,44,-15,44,33,46,3,27,41,47,38,42,-15,41,8,40,21,-18,20,-13,47,-7,-15,6,-4,39,39,33,44,40,29,38,27,44,21,20,-7,39,45,17,-17
4,47,-14,-8,48,21,-19,7,47,24,-11,-20,19,39,42,42,44,31,46,14,33,36,38,36,-10,-3,34,24,21,-15,31,-12,10,-11,-7,-13,-3,4,32,1,-18,17,-6,-5,-11,20
-18,30,-4,16,46,19,44,-6,-4,26,3,-7,22,-12,48,5,0,47,-5,36,24,37,-9,45,-4,5,-16,27,40,3,10,33,16,-14,-7,-4,14,45,32,7,14,35,37,-17,43,1
18,-2,-19,34,5,-19,24,-7,31,-16,43,16,-4,24,-3,-18,-15,-5,4,48,21,-18,-5,31,37,-17,12,32,-7,-14,4,-5,43,11,34,26,-14,37,47,14,-11,-1,3,-10,26,44
24,-8,34,27,41,-8,38,17,7,-8,19,39,36,28,2,-3,-10,26,-10,-6,-2,-20,38,-17,8,-7,-15,13,3,45,33,32,35,33,39,24,23,48,40,18,35,-6,-15,1,-15,-5
27,-5,-17,39,17,-18,-9,-16,31,-6,-5,8,47,-18,-19,1,31,33,9,-15,12,-5,47,30,37,44,7,-10,-3,38,-3,17,18,-17,32,49,6,39,-8,-7,22,48,47,-11,-9,-3
20,35,5,-5,-13,28,-15,-4,36,44,-1,-3,45,34,42,-18,44,36,-6,42,34,13,46,-8,-8,19,10,45,-6,45,-11,-20,49,24,37,42,-9,42,32,23,-8,15,3,34,41,19
29,-6,40,41,41,24,-11,40,14,36,42,31,45,45,-19,43,27,-10,-12,40,-8,47,-1,-5,19,32,33,19,-8,24,-12,-10,34,44,-15,34,6,-8,-14,-13,44,31,43,-10,28,-10
41,27,43,28,-10,-5,-19,13,-16,23,33,-12,5,-9,-12,29,2,39,28,-5,-11,-19,39,12,-9,-20,38,21,-2,-3,32,7,-5,31,37,-16,-9,4,-20,-13,-3,-20,-14,2,2,-13
49,22,3,36,28,46,15,49,44,27,-3,-15,-13,28,26,-4,-10,19,45,3,-19,-15,44,-4,-16,4,-7,27,-8,-2,40,7,-14,27,-11,2,28,37,32,28,-8,0,37,33,23,41
24,41,33,34,24,-5,37,44,-11,-19,-20,-14,37,-19,4,-12,-2,6,26,-10,31,42,-7,-9,28,-16,30,-12,6,-2,34,27,-4,35,-18,32,10,-8,44,-8,-5,39,41,9,-17,-11
10,-15,36,40,49,14,-15,25,9,-6,40,21,-11,-13,36,21,-9,33,25,44,27,-13,6,48,-8,25,2,-8,-14,-15,34,-10,45,12,39,-14,47,35,34,46,40,32,28,-11,46,26
20,49,-4,-17,22,-15,-14,27,5,35,-5,1,-16,32,15,47,31,33,44,7,-9,25,-11,43,25,49,-18,5,12,-15,16,44,43,-5,-9,-4,-5,13,-3,2,-7,-13,3,-3,-5,-7
39,38,-9,17,40,5,-17,2,45,-20,16,37,16,39,0,48,45,28,-4,-6,43,38,6,48,-9,49,32,6,-17,33,-13,-17,-13,31,-11,-4,18,-9,5,49,25,38,-5,42,43,-20
31,42,4,-9,37,40,37,30,3,41,39,24,-7,30,-19,-11,39,32,48,49,40,16,46,47,22,32,13,-18,26,-4,14,36,44,14,42,1,28,44,-4,33,-6,7,-10,42,-15,41
29,33,36,25,39,23,-9,4,35,49,-19,27,-17,13,38,15,15,-14,39,39,-5,40,23,-5,47,20,-3,47,9,-13,30,35,-2,18,24,-8,45,13,-19,35,32,27,47,12,3,-19
12,39,-16,24,7,-8,6,-4,25,-7,-14,20,-7,-11,5,36,-17,41,14,47,-10,-13,3,48,-14,-12,-5,-20,-17,32,-9,36,-11,41,-13,-17,27,32,19,43,-8,-19,42,27,0,-17
-6,15,14,-4,20,41,40,30,48,-6,31,40,17,39,36,47,2,-5,2,44,-11,1,-17,5,18,39,-5,24,-12,14,37,-5,-7,-13,26,43,46,-12,17,-7,-6,4,35,-11,-2,35
7,46,-18,16,0,40,-12,45,47,8,13,-5,31,48,-17,26,44,30,34,8,48,1,-7,48,-2,9,29,49,-16,-13,6,-2,6,-5,35,19,-19,0,-18,-2,36,-1,-9,19,15,48
-20,-10,25,35,-8,20,37,46,39,37,16,-17,38,39,-8,16,-4,-7,-2,9,-4,31,-15,15,36,29,16,33,28,-13,-15,11,45,6,33,2,43,18,45,-3,-20,-3,-16,31,44,-6
34,-18,2,36,9,45,-18,3,23,-2,40,-6,15,38,38,-16,29,41,-11,-17,-13,28,5,42,4,-4,-10,32,-5,14,-5,22,25,33,-3,-6,33,16,11,-12,16,-12,33,35,49,12
-12,-16,34,34,-8,-8,20,-7,47,24,40,-14,2,40,-16,26,28,38,37,25,44,38,5,-13,37,21,-17,-4,33,37,37,41,-16,-19,-18,-18,15,32,-18,-10,-17,-3,-12,13,-15,30
-7,9,-20,44,25,-7,19,-7,15,-18,3,34,45,-16,-14,35,40,43,-4,18,-19,10,-5,-6,-7,40,46,13,46,-18,34,21,33,24,44,45,47,-5,18,-17,43,-19,8,-11,5,43
49,40,0,-6,30,32,-19,2,-6,16,-7,28,28,-15,11,42,21,-3,15,-7,-5,47,12,-12,33,26,-18,22,-17,0,31,44,-17,13,-20,44,47,-3,-15,39,-7,-4,12,42,42,43
35,41,2,49,19,38,46,49,48,-3,-17,26,19,48,40,37,-16,14,-5,13,-18,23,-2,-4,-9,-5,9,38,40,18,15,41,28,-12,32,9,32,41,32,19,15,-11,-17,42,18,38
8,-16,14,-17,-6,-12,11,-9,-8,-14,37,-13,-10,37,49,16,40,-9,7,-12,-1,49,-17,-18,47,1,-8,49,-11,47,48,21,-9,42,4,-9,48,42,-4,43,-14,-9,-11,2,18,32
-18,-14,15,-19,-14,2,33,26,25,33,36,-10,-3,2,44,20,-19,38,-7,0,1,-10,-10,-20,-13,4,-18,25,-18,-11,-4,38,32,30,-1,32,-16,49,-13,27,1,49,-6,34,10,-14
32,42,30,39,40,0,-3,-5,30,37,28,-10,30,-4,11,-14,24,-14,-3,-11,38,27,17,32,-15,37,-20,-11,-5,42,49,22,-9,7,-16,49,35,22,49,44,22,40,49,11,-13,-1
22,-8,-14,38,34,44,36,8,-9,4,37,3,32,13,40,24,-17,34,-11,3,-5,10,16,-16,32,1,9,42,-18,14,42,1,23,37,43,49,18,-9,-11,-2,14,-4,-11,-1,41,8
34,32,-18,-13,-19,11,20,-8,-18,-5,-4,-15,1,32,-12,46,-12,49,48,27,14,-8,13,41,19,32,33,-9,42,18,4,-10,47,-5,-17,14,35,44,-20,-4,-10,-10,41,30,-7,29
14,-10,33,41,-2,36,-6,0,0,41,40,46,-19,30,39,2,-2,20,-16,-18,-14,21,45,47,43,-9,-7,28,-15,19,-8,12,47,-18,-13,24,-7,23,43,19,41,15,35,1,-4,39
11,33,6,48,39,-9,-15,-10,-10,18,-9,19,-7,-1,42,34,4,-11,-7,32,29,-8,25,-13,-2,41,49,28,-10,29,4,-16,31,-4,27,34,-7,36,42,44,6,32,21,-6,-14,44
-10,48,45,5,37,-6,-9,47,34,-14,49,18,32,-17,-4,-6,39,25,-4,35,-13,3,22,-11,-14,11,30,40,35,19,34,-8,-17,4,-8,-14,32,27,18,33,-6,10,7,-14,5,-8
-1,-9,32,32,47,-1,21,-8,33,-17,42,43,35,31,14,33,10,47,-3,25,38,41,11,32,41,8,-8,26,-18,-11,-5,-4,-10,20,43,13,-7,44,46,-14,30,-4,13,33,34,-14
-8,-10,44,-16,-16,-19,-14,8,46,38,34,-15,-15,41,-10,46,39,5,36,8,-17,-10,-2,-1,11,-18,-18,36,46,22,-15,48,-6,9,-18,32,40,5,-16,-2,13,35,-5,-5,32,35
40,5,33,-3,46,48,45,41,40,-5,-2,33,26,-11,31,-10,-11,20,2,34,48,41,-13,0,37,44,28,-6,35,31,45,42,33,5,-9,9,-2,0,2,-11,-8,13,32,35,32,13
-11,-7,-1,-7,-11,-12,10,-4,-19,10,-4,-15,12,47,-12,15,37,22,21,36,45,-18,-14,25,-16,-3,-8,-2,-11,24,19,49,5,42,35,-5,-9,-5,14,-2,33,-14,-1,33,20,-10
34,-6,18,34,21,-12,40,-1,34,8,-10,24,45,37,-4,-2,3,-5,14,40,22,-5,48,48,-7,45,41,-20,47,39,-2,26,-16,-19,-11,-10,-8,23,23,39,13,39,34,48,-19,43
46,30,32,43,20,39,30,35,-19,-5,32,44,0,-5,9,41,45,-4,22,38,18,45,-11,17,41,39,-17,20,-10,8,19,-2,15,44,5,45,41,47,8,36,-14,-18,40,-12,-10,-14
38,33,-2,10,-14,36,19,38,13,-10,12,-11,33,43,-9,29,-14,6,-10,9,45,32,37,1,3,42,-4,21,12,-14,-7,8,3,33,43,47,-14,20,45,21,41,-8,2,48,6,-14
45,3,4,-2,-12,16,-6,1,0,48,11,34,-12,16,43,44,35,18,42,5,25,42,-3,11,39,7,11,37,29,40,-1,44,42,18,-20,35,36,18,48,3,-6,-10,39,-3,49,14
-10,44,-8,14,34,-13,-12,14,16,-17,-16,6,18,-11,-16,4,37,-15,29,-15,-3,40,11,37,32,8,47,32,47,-15,-2,27,48,-2,25,-14,-20,-10,37,24,46,-3,35,-10,36,-9
-12,31,-11,42,20,43,32,-11,24,-18,47,42,18,34,48,42,26,35,-8,42,21,-16,13,-6,48,-8,8,45,32,21,7,-6,48,-3,46,44,38,8,43,-12,9,41,0,35,32,-18
35,-4,40,-15,-4,33,42,30,48,-16,15,46,45,-19,42,45,8,34,7,33,37,14,48,42,-6,-9,22,-7,16,44,44,-17,20,-19,34,10,10,-16,12,-11,34,36,-11,-10,40,23
-11,36,47,16,35,33,29,37,-6,16,15,34,4,33,36,27,-8,28,-8,-6,16,-3,-7,12,-2,36,-1,-5,-5,27,-9,5,29,37,-13,49,32,-17,11,-18,-13,-16,-19,22,17,-13
15,39,-1,45,-8,15,37,3,-9,32,33,12,31,48,-16,35,-17,-20,-9,39,44,34,47,9,49,40,-9,-4,-17,44,-17,8,12,36,25,45,49,-12,-2,-12,-16,-15,9,49,43,6
2,43,-12,8,31,33,46,37,21,-13,22,48,26,-12,49,-8,18,-2,39,-6,33,30,44,-20,5,-5,38,-1,9,42,42,21,18,36,24,-6,20,-7,-16,-12,44,36,37,27,41,-12
