barbarian_0_x,barbarian_0_y,barbarian_1_x,barbarian_1_y,barbarian_2_x,barbarian_2_y,barbarian_3_x,barbarian_3_y,barbarian_4_x,barbarian_4_y,barbarian_5_x,barbarian_5_y,barbarian_6_x,barbarian_6_y,barbarian_7_x,barbarian_7_y,barbarian_8_x,barbarian_8_y,barbarian_9_x,barbarian_9_y,barbarian_10_x,barbarian_10_y,barbarian_11_x,barbarian_11_y,barbarian_12_x,barbarian_12_y,archer_0_x,archer_0_y,archer_1_x,archer_1_y,archer_2_x,archer_2_y,archer_3_x,archer_3_y,archer_4_x,archer_4_y,archer_5_x,archer_5_y,archer_6_x,archer_6_y,archer_7_x,archer_7_y,archer_8_x,archer_8_y,archer_9_x,archer_9_y,archer_10_x,archer_10_y,archer_11_x,archer_11_y,archer_12_x,archer_12_y,giant_0_x,giant_0_y,giant_1_x,giant_1_y,giant_2_x,giant_2_y,giant_3_x,giant_3_y,giant_4_x,giant_4_y
39,30,-16,31,-8,-13,-9,41,-19,-16,23,-3,-15,10,10,-7,38,26,-17,41,-12,13,38,13,3,-13,-9,31,35,1,21,43,-18,-3,45,23,44,41,-8,45,9,39,37,21,-6,7,-13,21,-5,7,26,-7,26,-8,-17,28,6,-17,32,37,-11,-4
-7,36,-17,-1,47,-19,47,9,49,19,-4,11,-4,33,27,-3,12,39,38,12,22,-2,-12,3,-12,-16,10,39,8,-6,-13,35,12,49,34,31,-7,0,27,38,43,43,-18,10,-19,-14,-5,12,36,-13,1,35,39,-10,-13,20,44,24,38,28,20,-5
33,7,-3,32,46,14,32,-19,-7,-8,16,-1,21,-11,19,-1,-6,47,-7,16,-3,33,34,14,13,-18,45,-8,17,-6,-4,32,44,2,38,25,42,-5,-3,43,34,-1,40,-5,36,-11,-19,5,36,-2,7,-4,-8,29,-18,14,23,-14,45,30,2,-17
43,5,47,-16,8,34,37,25,26,-11,-12,43,-6,40,-1,28,20,44,8,-7,-3,26,-14,18,-16,36,12,-2,7,-15,-18,8,37,21,-10,42,46,-17,3,-13,13,47,21,46,40,-3,34,27,-12,42,-16,0,10,43,-13,46,-11,1,28,47,-6,38
-11,-14,42,-3,11,-19,-15,42,32,11,-3,8,1,38,-6,6,40,4,-12,-18,42,1,-11,10,9,39,-18,8,24,31,39,29,-11,34,48,27,33,3,49,44,-16,-11,29,-10,40,16,33,10,-6,11,41,37,9,48,-11,12,-1,41,29,-3,3,-17
-11,41,29,35,-14,43,20,39,31,34,1,-3,-6,1,-2,30,-7,-9,-9,35,28,32,33,20,43,10,37,19,36,26,7,41,27,-19,18,-12,20,-19,-10,48,-7,3,-13,40,39,31,-3,-5,37,13,36,32,23,40,43,10,41,22,43,12,15,-7
-12,-6,-8,11,-17,48,33,19,-7,-6,22,-17,13,-15,-15,9,42,5,22,36,7,-18,-16,28,-13,4,45,-4,47,9,43,25,48,30,37,-10,-5,13,32,5,-12,3,-18,9,-16,-5,27,38,-18,38,35,11,-10,-18,-9,-13,-19,27,32,10,-18,0
20,-6,3,-3,5,-4,-2,-8,6,34,3,33,19,-2,35,11,-2,42,12,46,42,28,-10,47,31,-6,9,-15,26,42,43,-17,15,37,43,-9,3,44,45,19,-10,46,49,43,47,23,-12,14,-10,17,8,47,-4,-7,20,-19,-6,17,35,16,-12,24
29,-4,5,-14,1,-13,17,44,5,-2,-4,-13,48,45,-1,-1,24,35,-6,-1,28,-17,45,-7,17,-19,46,-2,12,-11,-13,22,33,34,34,-2,13,-3,-11,-14,1,36,6,-14,-5,8,27,-11,20,-14,-7,23,-19,18,28,38,42,0,7,-12,-6,41
43,-6,39,14,18,45,27,-15,8,43,45,0,24,45,-14,47,-11,-7,0,-1,32,40,9,32,42,33,0,-15,16,-5,7,-1,16,-12,9,-14,-2,34,41,5,-6,23,-19,23,31,35,41,45,14,31,39,44,-4,47,5,-15,21,48,5,-18,43,18
44,4,-16,17,26,38,-14,-16,-9,34,0,-10,-5,16,0,49,23,44,19,45,-7,34,19,-14,15,-7,47,18,42,24,49,-15,46,42,9,-5,-8,40,45,-8,43,1,-9,-9,1,40,-4,-5,15,-19,45,18,43,-5,-18,42,15,32,17,39,-18,-2
38,44,36,20,-16,25,-11,35,49,40,39,24,49,7,36,49,-19,-8,37,-6,-4,-7,-9,4,29,34,-14,39,-18,5,47,27,-8,-18,-8,10,-10,26,29,-11,48,-3,0,-5,-14,22,22,33,5,-2,42,-8,-9,28,-6,1,36,10,1,-9,-13,-5
-9,45,20,-10,37,13,31,22,14,41,-15,12,16,43,26,-2,37,14,-5,37,11,-15,26,-8,10,-7,37,-19,-18,23,39,-5,20,45,33,-14,-16,-8,8,47,32,30,3,34,-8,-15,-13,22,-2,-15,15,32,32,43,-3,-17,-9,22,18,-6,26,-7
-17,-14,44,-1,-7,7,-18,43,26,33,-19,-11,-8,26,10,33,-16,7,-1,9,44,18,44,16,3,-12,15,-10,-10,-16,20,48,-3,9,43,42,47,3,19,-17,-9,14,48,15,42,29,-1,-6,-16,-7,33,-12,-19,46,42,13,7,48,31,14,32,37
-17,3,1,45,14,-5,44,21,40,43,44,39,-7,-9,-18,-15,-13,28,49,-18,-17,17,-9,26,48,24,-15,-12,-12,39,39,-1,-9,14,34,2,-17,-7,49,39,38,48,40,34,-12,-10,43,39,-14,21,39,-17,-16,30,7,44,36,49,43,26,-8,-2
39,-3,2,42,-4,-19,-14,17,16,-16,38,-1,-15,26,30,41,6,-16,-6,8,-4,17,33,42,46,49,19,39,-6,36,-13,0,6,33,1,49,-2,-14,-16,-4,-2,37,25,-2,24,44,49,-2,-6,9,34,2,-1,22,2,44,-17,31,-7,13,-16,7
-7,39,-2,-9,46,29,49,21,39,-15,6,-2,46,-19,22,39,16,-3,-14,27,2,35,13,-12,-10,31,-6,-6,-8,14,24,-13,14,-8,37,-7,-15,-12,33,-3,31,-7,-19,17,19,-14,-5,23,12,33,-15,48,24,-12,12,45,29,41,47,41,16,-3
25,-17,5,-7,12,-8,-18,22,29,46,34,42,48,15,6,-19,7,47,26,31,16,-15,39,32,45,29,-7,-17,40,0,-10,-13,-3,-19,35,2,-18,-4,24,-16,7,42,49,26,27,-13,4,-11,-1,-15,8,-18,3,31,20,-7,23,42,3,46,45,-11
48,22,6,39,45,49,20,-4,-15,-8,38,44,-5,6,43,46,-17,14,38,-4,0,31,11,32,-17,13,40,-8,42,27,23,-2,-1,10,33,46,36,13,48,30,39,4,-17,1,42,1,33,34,36,0,-16,2,-10,6,23,-12,4,45,27,45,-16,5
-12,-15,42,48,-13,44,-12,19,2,33,12,45,-19,15,-14,24,0,-6,-17,19,20,48,-8,44,23,-3,34,48,48,0,-16,17,19,-11,42,15,41,2,0,-16,-5,46,-4,24,31,22,-9,11,4,-18,36,-15,32,-7,-13,-10,12,32,28,32,4,-2
-14,33,-6,2,14,-13,15,-11,35,-4,-9,-3,35,2,32,44,42,33,47,16,-8,14,-10,-4,3,-4,-8,-2,11,45,48,13,43,14,47,42,-16,25,-4,25,39,7,-15,40,25,-6,-4,11,-1,28,41,31,23,-4,19,-14,40,13,-9,22,10,-6
27,-4,-9,-7,9,-11,-12,-13,49,40,45,5,40,-15,31,0,47,-12,48,-12,34,10,-13,2,-18,-15,45,36,9,36,-4,27,43,27,25,49,23,-19,40,47,-14,-19,15,-12,-3,-6,33,21,10,35,-18,42,-11,-19,31,1,40,-7,41,2,-8,24
-3,17,-11,-15,8,-17,32,15,38,18,41,37,34,30,46,31,-14,-4,27,34,26,-17,34,14,-19,46,47,18,-15,-7,-12,-13,26,41,-17,47,-15,47,-7,34,-6,39,45,17,20,-18,11,-18,17,-4,49,42,37,21,11,34,35,40,-11,31,21,47
-12,24,19,-7,35,46,-2,-12,33,20,-2,48,-5,-5,-12,-16,36,-6,5,-13,22,-1,-1,19,12,-17,22,-19,40,4,29,-6,41,-7,-15,31,39,-14,-16,41,23,-15,25,34,12,42,2,49,-6,23,4,-14,10,37,18,-9,-13,11,-9,8,36,38
29,-17,27,42,-17,41,10,-6,3,-2,-12,17,28,35,39,18,39,1,41,-3,-2,49,44,-15,20,-6,-11,24,-7,-18,32,1,9,-15,14,-3,-12,20,3,-13,43,15,2,38,-19,-10,21,44,-6,32,40,-8,-17,42,-9,33,46,18,-15,-11,21,-5
16,-15,-9,41,-1,2,29,47,-15,31,6,-3,41,46,7,39,31,25,21,35,36,-1,0,42,9,-1,39,-18,-19,46,46,-5,8,41,38,2,5,48,34,0,44,28,35,49,21,37,38,39,-11,12,44,5,32,-7,-19,16,15,43,46,-2,-14,-9
34,7,22,-12,11,-17,27,-4,-6,-15,-13,40,40,15,14,-15,-2,-3,-10,-6,35,15,-16,23,-13,49,49,-15,-15,45,9,-17,47,21,33,26,-8,-6,20,-10,-11,-1,44,-5,8,-16,6,-8,38,25,27,-10,3,-2,26,34,-19,5,-15,8,38,-17
-3,6,2,48,29,-12,1,41,38,-13,-1,21,26,-11,-4,23,-13,-8,38,-15,42,-15,-14,4,-14,-18,49,-2,33,5,40,49,-12,48,48,31,17,49,12,-19,46,36,32,5,11,46,1,-14,0,48,45,-18,18,45,0,41,-7,-7,-18,-2,41,30
-13,31,19,-5,20,37,42,-15,-1,36,24,-9,45,41,39,-6,36,15,32,17,26,48,-10,26,42,26,20,-6,-15,34,11,37,27,-7,42,5,26,-9,-7,23,-11,-15,49,-16,35,9,-2,12,3,-16,34,23,36,18,4,37,12,33,13,49,32,38
34,-4,-4,30,44,-2,25,38,33,5,10,-16,15,-14,-13,26,-17,40,17,33,6,46,-9,-10,-14,-19,-6,-16,42,43,42,44,11,-4,33,6,29,34,7,47,-4,-4,26,35,48,29,31,35,1,39,47,19,40,21,45,38,-4,47,20,45,40,9
35,29,3,39,-6,10,39,40,49,33,-5,-19,48,-4,-19,46,-1,37,-17,37,0,35,7,-4,21,-6,-16,18,-15,0,47,-1,32,14,14,31,-18,-14,36,-19,12,49,12,-17,-4,1,20,-7,33,33,40,36,23,-4,-1,-9,-6,26,-15,-6,37,-8
-12,28,32,49,7,34,-14,19,-10,25,48,5,6,-10,2,37,42,32,24,-11,48,39,16,37,-17,29,22,-13,-16,5,38,24,35,-10,-6,42,31,24,31,6,29,41,0,-2,-12,-19,39,31,5,47,43,15,12,31,-11,-16,11,31,-19,41,6,34
22,-1,-19,43,19,45,42,25,-14,-5,33,31,43,6,-12,34,34,18,38,4,-8,-5,-10,0,47,-12,-7,-12,34,-5,11,33,40,44,1,49,-14,-9,-8,8,-18,-18,4,-2,45,-7,-6,-17,44,22,-18,34,-1,32,-16,10,13,37,-3,6,0,-17
30,-5,22,-19,36,15,35,12,39,-2,19,-14,-5,10,35,45,-15,39,10,-10,29,-12,35,42,-17,-3,15,-2,-5,24,-18,20,-11,12,21,-16,44,25,-7,-6,-8,20,-7,5,-2,43,12,-2,-1,29,33,28,-3,35,42,-11,-15,-9,-7,-8,48,-16
8,47,46,39,15,-14,-4,32,33,41,23,-18,43,1,45,49,8,45,42,18,-18,16,36,16,40,27,-2,28,44,22,48,39,-4,27,24,-13,37,12,-6,47,21,41,49,36,46,4,37,32,29,31,42,38,28,42,31,5,-19,8,45,15,38,42
-1,24,36,8,34,39,28,31,3,-15,7,45,-11,-2,17,44,12,-17,-19,1,34,21,6,37,19,47,-4,-5,-10,26,23,48,22,42,33,-14,30,32,-12,-15,44,-1,16,35,36,37,32,30,-9,-10,42,30,-6,3,37,-5,35,31,45,-19,6,-2
-4,22,45,1,21,34,39,22,39,39,43,44,42,-19,18,-6,14,46,47,45,26,35,-16,-8,48,4,38,13,36,-17,-6,-3,25,31,32,44,13,44,30,-16,-13,43,39,46,-9,45,40,14,-10,19,47,4,16,39,-10,20,30,-4,37,27,42,30
49,27,-1,26,-8,2,33,-13,9,35,-13,28,-7,22,34,-1,-5,27,1,-18,-13,-8,-14,41,-6,46,15,-5,-14,25,25,-16,-4,34,13,32,0,-4,20,-5,-18,-18,32,30,38,32,27,31,41,25,-5,47,5,47,41,32,42,44,18,-3,40,21
-12,8,44,-8,-4,35,36,43,15,42,32,28,17,-7,-2,8,28,34,44,10,46,-16,1,45,38,25,17,-15,32,11,-8,-12,-4,5,35,10,2,-12,40,24,-3,36,49,1,48,-7,-16,2,-6,34,-5,26,5,38,30,-12,-2,-4,38,37,-9,8
33,43,12,45,-16,-7,-18,11,4,-8,-2,26,-13,22,37,27,14,-16,40,43,38,-15,-1,9,31,45,21,-9,-18,-11,42,-19,37,14,-1,39,44,12,-18,34,37,32,-12,25,-11,7,-7,-1,4,44,17,-8,10,-13,39,10,37,36,49,7,-7,-12
-17,17,-6,37,40,7,-11,38,46,26,48,27,-2,10,-2,49,-12,-5,45,33,-16,48,-7,15,32,7,17,-16,-7,3,1,-12,12,-16,17,-6,21,-8,28,49,15,49,39,-1,49,13,-6,0,-5,18,-14,-9,37,-1,31,37,31,22,-7,11,-18,0
19,-2,-16,-13,23,-11,10,32,37,-3,37,37,24,31,-17,24,-8,-19,13,33,44,-3,-10,25,-16,19,-2,23,32,19,-7,-9,16,36,-3,48,23,42,-6,4,-11,39,34,5,-14,26,-12,-14,43,13,-11,27,0,36,-9,13,16,46,40,23,-16,-13
35,13,24,-4,-11,24,-17,20,21,40,-17,45,-12,4,44,5,16,47,43,30,-19,-4,10,44,49,-15,15,-4,12,-6,34,18,14,37,12,35,-14,45,19,-5,36,45,3,33,47,38,-6,-11,14,31,39,38,40,-16,22,49,32,17,32,9,46,38
49,49,39,-5,37,46,49,-7,37,-9,32,39,-9,-18,33,40,27,31,-12,35,-5,-15,-8,36,-7,8,-3,-2,6,-9,24,-12,15,-4,22,-6,33,22,34,-17,37,0,-10,7,31,25,5,42,16,-4,41,-3,15,36,31,11,-3,43,10,-6,14,-7
-2,18,-18,-10,25,48,30,-10,-10,20,41,33,6,-19,16,43,11,37,23,36,16,44,-3,11,-12,11,-12,1,-19,-14,46,-1,-8,-7,-18,-12,5,-17,-5,25,-11,22,-15,23,-17,13,31,-1,36,0,-8,-2,-9,29,-17,-8,-7,-12,-9,-19,44,35
19,-6,14,-15,45,30,-3,-3,0,35,-9,3,20,36,34,-18,-13,-11,11,-5,-8,2,-15,47,-12,46,43,41,39,37,5,-18,-7,38,34,30,-15,12,30,49,32,-16,49,27,-1,-9,-15,4,35,31,29,-1,35,-7,31,15,3,47,-5,26,32,-1
-4,24,-8,-17,-4,46,24,-11,-18,-5,10,40,-1,-19,46,44,4,-7,-11,1,-8,-17,41,26,29,-9,43,41,-4,11,42,44,36,4,28,-18,28,-1,28,-5,20,-16,16,32,41,20,3,-1,46,49,47,31,14,-16,30,37,32,9,28,-3,35,26
24,-5,-8,20,-6,-6,31,38,25,42,48,5,7,-7,6,49,-5,25,49,-8,48,0,11,-12,1,-9,-4,42,-16,11,49,2,12,35,43,30,37,-13,36,34,23,47,45,23,0,45,-7,6,-6,34,-8,-3,22,32,37,-12,29,37,44,-6,11,32
43,12,12,48,39,-15,-13,21,43,12,9,49,-10,-8,40,27,-14,11,41,8,45,35,40,39,42,6,19,47,-15,1,39,37,4,41,2,43,-18,4,46,-11,-8,5,43,43,-1,26,-15,-1,-6,7,48,-2,-10,39,34,48,14,-4,14,45,37,22
-11,12,44,39,45,-10,-2,-13,33,40,-3,7,-15,1,23,41,34,11,29,32,14,32,1,44,-4,-15,7,-16,44,12,-9,34,-10,44,2,35,-1,-17,-16,45,-4,5,6,-19,16,32,37,45,36,-5,29,-15,-1,26,32,34,-18,42,-18,-5,20,-3
-14,18,16,38,36,29,-19,47,-18,26,1,44,1,-18,-9,42,-18,-4,-18,40,24,-2,46,-10,-7,16,33,3,-3,-1,6,-10,35,21,40,-4,37,1,26,46,-19,39,-16,-10,-11,-4,-1,20,19,-11,37,-8,-3,26,27,47,38,-3,40,26,8,38
42,-19,7,40,47,-12,46,48,38,43,36,34,-15,3,-9,38,-8,39,47,42,22,-13,0,38,-5,23,43,3,-4,32,35,34,4,34,13,43,23,-3,-10,27,30,31,34,46,-19,45,29,-8,9,46,-3,20,23,-7,6,-9,32,5,23,-2,12,38
6,40,49,39,38,-8,-8,10,14,-12,-3,-2,-2,44,35,-3,-13,-4,2,-3,17,40,33,43,8,44,7,-4,-6,3,-11,20,28,34,29,41,26,42,-19,32,38,7,7,-6,43,44,36,-12,-12,-14,38,-10,-5,-1,-4,49,47,8,-1,13,2,-18
41,-14,-10,25,-6,32,7,48,35,0,-12,0,42,15,-10,7,-16,24,-8,26,37,12,-12,29,43,45,-18,35,-9,31,-15,-8,5,37,42,21,41,45,45,-7,48,-4,44,-9,35,42,-5,-2,33,25,39,25,-17,35,10,-1,7,37,45,15,45,0
-4,41,20,-10,-13,44,37,-5,37,18,-1,33,-9,18,-13,15,-15,-6,-5,-7,31,18,45,16,15,-9,-3,12,-5,41,34,-19,-18,48,18,-14,43,28,-11,11,5,-19,29,-13,31,1,27,45,-13,17,12,-1,1,42,6,38,16,37,-9,19,31,12
9,37,-6,47,10,-11,28,37,40,23,17,41,-19,-19,32,27,-4,-10,4,-14,-7,-10,27,-5,-7,30,-6,49,-11,-7,-9,3,47,16,7,46,-8,48,26,32,39,28,4,42,-9,33,-11,3,-14,17,17,48,32,38,44,17,40,34,6,40,-13,-19
36,-16,7,-12,16,-14,32,-15,31,-18,29,46,-11,16,1,44,-5,-9,28,32,-5,2,-4,31,-4,25,45,32,32,49,36,-8,-6,4,-1,-13,-1,-17,38,25,-10,11,5,-18,-13,46,12,33,47,27,-9,26,-18,44,16,-9,41,-14,29,-11,37,35
32,11,31,-15,22,-2,38,45,10,35,36,34,47,23,-10,1,-14,36,-10,25,-14,-10,-12,26,34,13,0,-8,45,37,44,2,45,26,-9,11,-7,8,-15,13,-9,34,-15,37,35,33,30,38,-2,37,24,-18,-17,46,38,13,-3,-16,34,16,-2,10
17,36,7,36,-3,17,-17,41,20,37,22,-9,32,13,37,33,-1,49,28,-14,17,-17,42,7,49,49,0,36,15,-5,26,37,9,-12,-3,24,-17,-14,-2,26,6,32,44,3,31,-11,14,34,-5,-6,-3,21,-4,-18,34,-9,-5,39,19,-13,2,-9
17,-3,41,46,-9,30,36,31,38,46,-14,7,33,-17,7,-16,15,-5,4,-4,31,39,26,36,20,37,-14,15,44,-18,17,45,38,45,48,10,42,32,37,40,-18,-4,-16,14,-11,-7,28,-14,-15,-15,-7,-18,17,43,4,42,-11,44,41,34,37,-3
30,-12,45,14,-16,49,-12,-2,-6,34,40,10,-19,-13,15,-19,46,0,45,18,8,38,-1,27,34,-2,-7,22,-14,-14,44,-12,17,-11,20,-14,-4,-2,-7,15,-3,13,-18,48,38,-5,46,35,6,-10,-19,34,-5,-8,-16,40,-8,45,47,32,22,-19
4,-2,-13,19,22,48,25,-19,31,-12,37,26,36,20,29,44,-3,-17,48,0,14,45,16,-10,13,-18,-8,-2,5,43,44,22,-18,-17,44,40,-3,31,5,42,0,47,22,31,-1,36,34,26,44,36,46,10,-4,4,13,-1,14,46,-6,19,48,48
41,-19,-16,-8,15,-4,-18,37,26,-10,-15,49,39,-16,-11,37,-11,8,-4,6,13,49,-3,31,6,35,26,-12,-17,44,-4,7,29,-14,28,-18,44,40,4,-7,-15,13,-3,49,36,-18,-12,17,-2,18,40,-17,33,27,-13,29,11,-8,6,-1,-11,49
20,-12,31,12,22,-10,18,38,-4,11,40,11,21,46,31,-2,45,23,36,43,35,49,-2,45,-14,13,49,48,30,41,-4,19,37,22,49,28,4,-17,45,-6,38,-12,-9,22,11,-13,15,34,16,-8,-16,2,34,-6,25,34,48,-9,48,-11,23,32
-11,40,41,1,49,18,27,-9,-10,34,-4,32,42,11,46,28,16,-16,38,49,45,34,-7,36,26,-9,-4,-5,-3,18,32,-16,-17,24,22,-9,20,44,17,-10,-7,46,10,-3,-3,-8,47,48,-18,-7,29,-1,-10,-4,19,37,-9,49,34,42,40,47
21,43,-3,40,-18,5,-15,20,-1,20,-16,17,2,-1,23,-14,19,-4,43,48,35,39,33,11,2,44,15,39,33,16,36,42,-12,13,-8,31,49,40,48,40,16,-19,-17,35,20,-10,34,-18,31,8,44,10,-16,37,2,31,9,-5,-7,-12,41,48
-7,4,49,42,43,20,29,-3,23,-16,46,46,-11,-2,34,31,26,-4,-11,-17,-16,41,21,-19,25,-14,45,-10,35,12,26,49,-3,-5,-1,38,37,-3,48,5,38,30,42,17,35,-14,-19,9,-8,35,-15,27,20,-5,-5,24,42,47,45,-11,36,-5
-19,-17,20,32,17,35,-6,-2,46,-18,43,-19,42,-3,13,40,49,-2,-12,-12,15,47,30,-3,-5,-11,12,35,-2,38,-12,9,28,-1,34,45,-9,10,14,41,-13,11,37,31,32,38,-1,10,-19,20,-7,0,26,-5,-13,1,44,-3,-15,33,-5,41
35,32,47,32,-17,-6,-5,22,35,46,-5,-7,18,-2,-18,30,2,-5,16,46,-19,-14,26,36,-5,1,40,21,-14,-2,8,-13,39,40,39,31,-17,24,16,-17,32,43,-16,-11,34,11,-3,11,-14,-14,-8,-8,9,-15,44,41,17,-4,42,18,-15,4
-1,-8,-19,15,44,7,-12,2,-9,40,44,-1,-7,-19,26,-10,46,27,41,37,-12,-16,41,-14,5,-2,26,-13,13,-1,32,5,-18,-7,1,-11,42,-4,26,37,38,20,12,42,13,36,-3,12,48,44,18,-4,43,-11,1,-10,-15,-19,18,-11,46,46
-17,-17,44,14,33,17,17,34,48,42,26,-16,31,-1,9,-14,45,47,15,-19,29,41,33,5,-6,6,36,-15,-7,8,19,-14,-3,11,11,-16,47,-8,28,40,-3,-15,-19,40,-6,0,-16,32,45,16,37,-11,21,-16,30,37,45,-5,40,-11,11,35
23,-14,1,-19,28,39,4,41,-14,0,-5,49,43,40,18,43,-17,27,-19,41,41,-5,41,25,4,37,9,-11,44,48,-4,16,48,-8,13,37,38,44,20,45,15,-1,-19,39,-2,29,-15,8,-8,-14,23,-3,0,-10,41,27,7,46,22,-7,29,-5
25,48,37,42,-6,-1,24,-8,24,-14,-2,-16,-2,15,46,12,-9,46,45,46,1,34,-15,-9,15,35,44,47,44,49,-5,7,4,-18,-14,2,45,33,43,-2,-12,0,-3,42,29,31,35,-12,16,48,28,48,-18,-8,39,2,-13,42,18,-5,43,13
9,-2,31,-4,47,-11,46,1,-11,28,-10,39,40,0,7,-17,32,8,17,-7,-13,24,43,27,32,7,26,-6,48,42,29,35,43,25,35,7,44,-19,32,7,6,41,29,-5,22,46,-9,41,35,-10,4,-9,8,-6,32,44,33,-15,41,36,-17,0
16,46,44,23,37,35,43,25,-14,39,-19,47,-7,-15,16,-19,25,-6,48,-6,17,41,-13,-19,-6,28,44,15,-13,-11,-13,40,39,33,7,-17,34,39,-6,48,49,17,13,-14,8,45,-8,33,11,-12,26,47,48,15,4,40,15,-5,-2,23,-2,-2
-1,-2,49,22,-16,27,32,11,4,46,9,-18,-2,29,-12,11,9,47,21,-6,39,-6,41,8,42,-19,29,31,-19,46,9,32,-17,27,-12,2,-4,24,-3,5,-19,25,-13,5,39,29,49,6,-16,33,45,21,36,0,27,-15,12,-19,30,-13,-18,42
48,5,28,-19,24,39,5,-8,33,-12,-14,6,10,-11,-13,22,2,-6,-8,36,46,-14,23,-14,30,48,-17,3,-7,21,38,29,28,39,-10,20,-12,-14,-13,39,-14,40,43,15,-12,-11,41,30,16,-10,49,2,29,-16,-19,48,46,35,-11,5,-1,0
28,42,47,15,46,8,39,35,47,46,-6,18,38,-3,8,31,9,-5,5,46,-10,4,27,-17,-13,48,-1,23,-4,9,21,33,-7,49,20,-17,-17,49,39,22,-3,-5,47,-12,-8,-9,-12,-13,-6,28,34,38,-1,43,24,-18,15,-2,2,-7,-17,45
36,45,44,-16,16,47,39,-6,25,47,45,29,-8,-2,47,1,7,-8,8,-11,-6,41,-3,40,-9,-4,-16,7,14,-5,26,-13,-2,10,-12,-5,44,-13,11,49,-13,12,32,36,17,43,5,-10,42,1,-11,37,-13,-15,42,4,-10,40,-2,10,33,41
